|dates|Adams_Mississippi_UnitedStates.BLS_EmployedPopulation.data|Adams_Mississippi_UnitedStates.BLS_EmployedPopulation.missing|Adams_Mississippi_UnitedStates.BLS_UnemployedPopulation.data|Adams_Mississippi_UnitedStates.BLS_UnemployedPopulation.missing|Adams_Mississippi_UnitedStates.BLS_UnemploymentRate.data|Adams_Mississippi_UnitedStates.BLS_UnemploymentRate.missing|Adams_Mississippi_UnitedStates.BLS_LaborForcePopulation.data|Adams_Mississippi_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-02|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-03|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-04|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-05|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-06|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-07|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-08|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-09|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-10|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-11|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-12|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-13|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-14|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-15|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-16|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-17|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-18|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-19|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-20|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-21|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-22|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-23|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-24|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-25|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-26|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-27|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-28|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-29|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-30|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-01-31|10264.5|0|785.0|0|7.104393863975745|0|11049.5|0
0|2020-02-01|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-02|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-03|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-04|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-05|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-06|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-07|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-08|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-09|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-10|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-11|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-12|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-13|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-14|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-15|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-16|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-17|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-18|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-19|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-20|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-21|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-22|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-23|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-24|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-25|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-26|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-27|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-28|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-02-29|10246.0|0|740.0|0|6.735845621700346|0|10986.0|0
0|2020-03-01|10265.0|0|796.5|0|7.200650906296614|0|11061.5|0
0|2020-03-02|10265.0|0|796.5|0|7.200650906296614|0|11061.5|0
0|2020-03-03|10265.0|0|796.5|0|7.200650906296614|0|11061.5|0
0|2020-03-04|10265.0|0|796.5|0|7.200650906296614|0|11061.5|0
0|2020-03-05|10265.0|0|796.5|0|7.200650906296614|0|11061.5|0
0|2020-03-06|10265.0|0|796.5|0|7.200650906296614|0|11061.5|0
0|2020-03-07|10265.0|0|796.5|0|7.200650906296614|0|11061.5|0
0|2020-03-08|10265.0|0|796.5|0|7.200650906296614|0|11061.5|0
0|2020-03-09|10265.0|0|796.5|0|7.200650906296614|0|11061.5|0
0|2020-03-10|10265.0|0|796.5|0|7.200650906296614|0|11061.5|0
0|2020-03-11|10265.0|0|796.5|0|7.200650906296614|0|11061.5|0
0|2020-03-12|10265.0|0|796.5|0|7.200650906296614|0|11061.5|0
0|2020-03-13|10265.0|0|796.5|0|7.200650906296614|0|11061.5|0
0|2020-03-14|10265.0|0|796.5|0|7.200650906296614|0|11061.5|0
0|2020-03-15|10265.0|0|796.5|0|7.200650906296614|0|11061.5|0
0|2020-03-16|10265.0|0|796.5|0|7.200650906296614|0|11061.5|0
0|2020-03-17|10265.0|0|796.5|0|7.200650906296614|0|11061.5|0
0|2020-03-18|10265.0|0|796.5|0|7.200650906296614|0|11061.5|0
