|dates|Allegheny_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Allegheny_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Allegheny_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Allegheny_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Allegheny_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Allegheny_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Allegheny_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Allegheny_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|618556.0|0|30499.0|0|4.698985448074509|0|649055.0|0
0|2020-01-02|618556.0|0|30499.0|0|4.698985448074509|0|649055.0|0
0|2020-01-03|618556.0|0|30499.0|0|4.698985448074509|0|649055.0|0
0|2020-01-04|618556.0|0|30499.0|0|4.698985448074509|0|649055.0|0
0|2020-01-05|618556.0|0|30499.0|0|4.698985448074509|0|649055.0|0
0|2020-01-06|618556.0|0|30499.0|0|4.698985448074509|0|649055.0|0
0|2020-01-07|618556.0|0|30499.0|0|4.698985448074509|0|649055.0|0
0|2020-01-08|618556.0|0|30499.0|0|4.698985448074509|0|649055.0|0
0|2020-01-09|618556.0|0|30499.0|0|4.698985448074509|0|649055.0|0
0|2020-01-10|618556.0|0|30499.0|0|4.698985448074509|0|649055.0|0
0|2020-01-11|618556.0|0|30499.0|0|4.698985448074509|0|649055.0|0
0|2020-01-12|618556.0|0|30499.0|0|4.698985448074509|0|649055.0|0
0|2020-01-13|618556.0|0|30499.0|0|4.698985448074509|0|649055.0|0
0|2020-01-14|618556.0|0|30499.0|0|4.698985448074509|0|649055.0|0
0|2020-01-15|618556.0|0|30499.0|0|4.698985448074509|0|649055.0|0
0|2020-01-16|618556.0|0|30499.0|0|4.698985448074509|0|649055.0|0
0|2020-01-17|618556.0|0|30499.0|0|4.698985448074509|0|649055.0|0
0|2020-01-18|618556.0|0|30499.0|0|4.698985448074509|0|649055.0|0
0|2020-01-19|618556.0|0|30499.0|0|4.698985448074509|0|649055.0|0
