|dates|Allen_Louisiana_UnitedStates.BLS_EmployedPopulation.data|Allen_Louisiana_UnitedStates.BLS_EmployedPopulation.missing|Allen_Louisiana_UnitedStates.BLS_UnemployedPopulation.data|Allen_Louisiana_UnitedStates.BLS_UnemployedPopulation.missing|Allen_Louisiana_UnitedStates.BLS_UnemploymentRate.data|Allen_Louisiana_UnitedStates.BLS_UnemploymentRate.missing|Allen_Louisiana_UnitedStates.BLS_LaborForcePopulation.data|Allen_Louisiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-02|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-03|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-04|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-05|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-06|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-07|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-08|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-09|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-10|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-11|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-12|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-13|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-14|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-15|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-16|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-17|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-18|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-19|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-20|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-21|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-22|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-23|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-24|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-25|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-26|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-27|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-28|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-29|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-30|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-01-31|8377.0|0|620.0|0|6.891185950872513|0|8997.0|0
0|2020-02-01|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-02|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-03|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-04|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-05|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-06|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-07|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-08|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-09|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-10|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-11|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-12|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-13|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-14|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-15|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-16|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-17|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-18|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-19|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-20|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-21|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-22|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-23|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-24|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-25|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-26|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-27|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-28|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-02-29|8469.5|0|497.5|0|5.548120887699342|0|8967.0|0
0|2020-03-01|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-02|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-03|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-04|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-05|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-06|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-07|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-08|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-09|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-10|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-11|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-12|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-13|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-14|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-15|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-16|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-17|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-18|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-19|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-20|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-21|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-22|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-23|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-24|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-25|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-26|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-27|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-28|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-29|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-30|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-03-31|8453.5|0|636.0|0|6.997084548104956|0|9089.5|0
0|2020-04-01|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-02|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-03|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-04|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-05|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-06|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-07|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-08|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-09|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-10|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-11|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-12|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-13|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-14|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-15|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-16|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-17|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-18|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-19|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-20|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-21|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-22|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-23|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-24|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-25|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-26|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-27|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-28|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-29|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-04-30|7407.5|0|1224.5|0|14.185588507877664|0|8632.0|0
0|2020-05-01|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-02|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-03|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-04|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-05|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-06|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-07|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-08|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-09|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-10|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-11|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-12|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-13|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-14|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-15|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-16|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-17|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-18|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-19|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-20|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-21|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-22|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-23|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-24|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-25|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-26|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-27|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-28|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-29|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-30|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-05-31|6997.0|0|1317.0|0|15.840750541255714|0|8314.0|0
0|2020-06-01|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-02|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-03|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-04|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-05|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-06|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-07|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-08|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-09|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-10|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-11|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-12|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-13|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-14|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-15|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-16|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-17|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-18|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-19|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-20|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-21|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-22|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-23|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-24|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-25|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-26|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-27|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-28|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-29|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-06-30|7134.0|0|892.0|0|11.113879890356342|0|8026.0|0
0|2020-07-01|6839.0|0|862.0|0|11.193351512790546|0|7701.0|0
0|2020-07-02|6839.0|0|862.0|0|11.193351512790546|0|7701.0|0
0|2020-07-03|6839.0|0|862.0|0|11.193351512790546|0|7701.0|0
0|2020-07-04|6839.0|0|862.0|0|11.193351512790546|0|7701.0|0
0|2020-07-05|6839.0|0|862.0|0|11.193351512790546|0|7701.0|0
0|2020-07-06|6839.0|0|862.0|0|11.193351512790546|0|7701.0|0
0|2020-07-07|6839.0|0|862.0|0|11.193351512790546|0|7701.0|0
0|2020-07-08|6839.0|0|862.0|0|11.193351512790546|0|7701.0|0
0|2020-07-09|6839.0|0|862.0|0|11.193351512790546|0|7701.0|0
0|2020-07-10|6839.0|0|862.0|0|11.193351512790546|0|7701.0|0
0|2020-07-11|6839.0|0|862.0|0|11.193351512790546|0|7701.0|0
0|2020-07-12|6839.0|0|862.0|0|11.193351512790546|0|7701.0|0
0|2020-07-13|6839.0|0|862.0|0|11.193351512790546|0|7701.0|0
