|dates|Arenac_Michigan_UnitedStates.BLS_EmployedPopulation.data|Arenac_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Arenac_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Arenac_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Arenac_Michigan_UnitedStates.BLS_UnemploymentRate.data|Arenac_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Arenac_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Arenac_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-02|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-03|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-04|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-05|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-06|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-07|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-08|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-09|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-10|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-11|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-12|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-13|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-14|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-15|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-16|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-17|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-18|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-19|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-20|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-21|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-22|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-23|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-24|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-25|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-26|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-27|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-28|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-29|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-30|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-01-31|5478.0|0|499.0|0|8.348669901288272|0|5977.0|0
0|2020-02-01|5521.5|0|433.0|0|7.271811235200269|0|5954.5|0
0|2020-02-02|5521.5|0|433.0|0|7.271811235200269|0|5954.5|0
0|2020-02-03|5521.5|0|433.0|0|7.271811235200269|0|5954.5|0
0|2020-02-04|5521.5|0|433.0|0|7.271811235200269|0|5954.5|0
0|2020-02-05|5521.5|0|433.0|0|7.271811235200269|0|5954.5|0
0|2020-02-06|5521.5|0|433.0|0|7.271811235200269|0|5954.5|0
0|2020-02-07|5521.5|0|433.0|0|7.271811235200269|0|5954.5|0
0|2020-02-08|5521.5|0|433.0|0|7.271811235200269|0|5954.5|0
0|2020-02-09|5521.5|0|433.0|0|7.271811235200269|0|5954.5|0
