|dates|Baker_Georgia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Baker_Georgia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Baker_Georgia_UnitedStates.Male_Total_Population.data|Baker_Georgia_UnitedStates.Male_Total_Population.missing|Baker_Georgia_UnitedStates.Female_Total_Population.data|Baker_Georgia_UnitedStates.Female_Total_Population.missing|Baker_Georgia_UnitedStates.MaleAndFemale_Under18_Population.data|Baker_Georgia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-02|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-03|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-04|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-05|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-06|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-07|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-08|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-09|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-10|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-11|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-12|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-13|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-14|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-15|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-16|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-17|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-18|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-19|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-20|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-21|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-22|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-23|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-24|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-25|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-26|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-27|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-28|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-29|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-30|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-01-31|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-01|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-02|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-03|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-04|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-05|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-06|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-07|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-08|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-09|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-10|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-11|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-12|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-13|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-14|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-15|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-16|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-17|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-18|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-19|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-20|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-21|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-22|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-23|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-24|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-25|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-26|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-27|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-28|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-02-29|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-01|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-02|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-03|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-04|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-05|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-06|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-07|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-08|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-09|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-10|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-11|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-12|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-13|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-14|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-15|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-16|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-17|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-18|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-19|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-20|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-21|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-22|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-23|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-24|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-25|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-26|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-27|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-28|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-29|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-30|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-03-31|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-01|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-02|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-03|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-04|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-05|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-06|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-07|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-08|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-09|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-10|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-11|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-12|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-13|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-14|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-15|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-16|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-17|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-18|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-19|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-20|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-21|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-22|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-23|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-24|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-25|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-26|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-27|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-28|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-29|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-04-30|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-01|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-02|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-03|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-04|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-05|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-06|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-07|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-08|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-09|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-10|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-11|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-12|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-13|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-14|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-15|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-16|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-17|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-18|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-19|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-20|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-21|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-22|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-23|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-24|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-25|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-26|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-27|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-28|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-29|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-30|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-05-31|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-01|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-02|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-03|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-04|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-05|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-06|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-07|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-08|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-09|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-10|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-11|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-12|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-13|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-14|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-15|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-16|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-17|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-18|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-19|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-20|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-21|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-22|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-23|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-24|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-25|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-26|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-27|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-28|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-29|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-06-30|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-01|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-02|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-03|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-04|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-05|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-06|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-07|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-08|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-09|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-10|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-11|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-12|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-13|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-14|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-15|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-16|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-17|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-18|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-19|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-20|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-21|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-22|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-23|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-24|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-25|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-26|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-27|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-28|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-29|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-30|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-07-31|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-01|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-02|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-03|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-04|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-05|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-06|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-07|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-08|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-09|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-10|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-11|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-12|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-13|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-14|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-15|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-16|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-17|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-18|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-19|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-20|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-21|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-22|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-23|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-24|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-25|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-26|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-27|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-28|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-29|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-30|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-08-31|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-09-01|696.0|0|1529.0|0|1563.0|0|598.0|0
0|2020-09-02|696.0|0|1529.0|0|1563.0|0|598.0|0
