|dates|Baraga_Michigan_UnitedStates.AveragePrecipitationTotal.data|Baraga_Michigan_UnitedStates.AveragePrecipitationTotal.missing|Baraga_Michigan_UnitedStates.AveragePrecipitation.data|Baraga_Michigan_UnitedStates.AveragePrecipitation.missing|Baraga_Michigan_UnitedStates.AverageWindDirection.data|Baraga_Michigan_UnitedStates.AverageWindDirection.missing|Baraga_Michigan_UnitedStates.AverageWindSpeed.data|Baraga_Michigan_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|196.875|0|4.951388888888889|0
0|2020-01-02|0.0|0|0.0003125|0|198.52083333333334|0|12.139583333333334|0
0|2020-01-03|0.0004166666666666667|0|0.0|0|304.5833333333333|0|10.541666666666666|0
0|2020-01-04|0.0|0|0.0|0|277.53472222222223|0|8.895833333333334|0
0|2020-01-05|0.0|0|0.0026111111111111114|0|193.1736111111111|0|14.104166666666666|0
0|2020-01-06|0.005|0|0.0|0|241.4027777777778|0|18.970833333333335|0
0|2020-01-07|0.0|0|0.0011111111111111111|0|285.24305555555554|0|22.381249999999998|0
0|2020-01-08|0.0006944444444444445|0|0.0|0|226.33333333333334|0|11.197916666666666|0
0|2020-01-09|0.00020833333333333335|0|0.0024652777777777776|0|154.77430555555554|0|13.032986111111112|0
0|2020-01-10|0.0033333333333333335|0|0.0|0|284.02777777777777|0|17.805555555555554|0
0|2020-01-11|0.0|0|0.0|0|101.45833333333333|0|12.375|0
0|2020-01-12|0.0|0|0.0|0|87.09027777777777|0|9.738194444444444|0
0|2020-01-13|0.0|0|0.0|0|101.28472222222223|0|4.819444444444445|0
0|2020-01-14|0.0006944444444444445|0|0.0009861111111111112|0|219.125|0|15.025|0
0|2020-01-15|0.0|0|0.0004166666666666667|0|187.52083333333334|0|5.842361111111111|0
0|2020-01-16|0.004166666666666667|0|0.002833333333333333|0|310.4513888888889|0|14.173015873015872|0
0|2020-01-17|0.0|0|0.0|0|120.41666666666667|0|7.069444444444444|0
0|2020-01-18|0.0|0|0.006756944444444445|0|139.11805555555554|0|10.491666666666665|0
0|2020-01-19|0.0020833333333333333|0|0.0|0|185.14583333333334|0|9.647916666666667|0
0|2020-01-20|0.0|0|0.0|0|292.2916666666667|0|9.277777777777777|0
0|2020-01-21|0.0|0|0.0|0|236.25|0|12.1875|0
0|2020-01-22|0.0|0|0.0|0|220.20833333333334|0|9.333333333333334|0
0|2020-01-23|0.00020833333333333335|0|0.0026458333333333334|0|67.67460317460318|0|8.007936507936508|0
0|2020-01-24|0.00125|0|0.0002777777777777778|0|95.30555555555554|0|11.484722222222222|0
0|2020-01-25|0.0007291666666666667|0|0.0038611111111111107|0|222.70833333333337|0|10.252083333333333|0
0|2020-01-26|0.0009722222222222223|0|0.0004166666666666667|0|324.38888888888886|0|9.989583333333334|0
0|2020-01-27|0.0|0|0.0|0|292.0486111111111|0|8.19513888888889|0
0|2020-01-28|0.000625|0|0.0004513888888888889|0|219.11805555555554|0|6.122916666666666|0
0|2020-01-29|0.0|0|0.0|0|87.70833333333333|0|2.625|0
0|2020-01-30|0.0|0|0.0|0|155.41666666666666|0|3.1458333333333335|0
0|2020-01-31|0.0|0|0.0|0|186.04166666666666|0|5.0625|0
0|2020-02-01|0.0|0|0.0|0|248.7847222222222|0|15.041666666666666|0
0|2020-02-02|0.00125|0|0.0034027777777777776|0|235.6111111111111|0|11.847222222222223|0
0|2020-02-03|0.0002777777777777778|0|0.0|0|302.15277777777777|0|16.631944444444443|0
0|2020-02-04|0.0|0|0.0|0|303.05555555555554|0|15.229166666666666|0
0|2020-02-05|0.0|0|0.0|0|234.375|0|9.729166666666666|0
0|2020-02-06|0.0|0|0.0004166666666666667|0|214.0625|0|9.416666666666666|0
0|2020-02-07|0.00010416666666666667|0|0.0|0|58.333333333333336|0|8.92361111111111|0
0|2020-02-08|0.0|0|0.0|0|154.375|0|5.583333333333333|0
0|2020-02-09|0.0|0|0.0|0|259.375|0|8.0|0
0|2020-02-10|0.0|0|0.0|0|214.86111111111111|0|8.979166666666666|0
0|2020-02-11|0.0|0|0.0|0|271.76388888888886|0|17.08888888888889|0
0|2020-02-12|0.0|0|0.0|0|192.93055555555554|0|12.182638888888889|0
0|2020-02-13|0.0|0|0.0|0|296.91815476190476|0|12.582242063492062|0
0|2020-02-14|0.0|0|0.0|0|217.46527777777783|0|10.375|0
0|2020-02-15|0.0|0|0.0001388888888888889|0|241.98611111111111|0|15.580555555555556|0
0|2020-02-16|0.00010416666666666667|0|0.0|0|292.88194444444446|0|11.788194444444445|0
0|2020-02-17|0.0|0|0.0004166666666666667|0|142.05555555555557|0|7.502083333333334|0
0|2020-02-18|0.000625|0|0.0011458333333333333|0|293.7708333333333|0|18.277083333333334|0
0|2020-02-19|0.0001388888888888889|0|0.0|0|304.90277777777777|0|17.09236111111111|0
0|2020-02-20|0.0|0|0.0|0|274.02777777777777|0|14.965277777777777|0
0|2020-02-21|0.0|0|0.0|0|254.58333333333334|0|18.5|0
0|2020-02-22|0.0|0|0.0|0|250.83333333333334|0|10.625|0
0|2020-02-23|0.0|0|0.0|0|242.5|0|15.291666666666666|0
0|2020-02-24|0.0|0|0.0|0|268.81944444444446|0|11.618055555555557|0
0|2020-02-25|0.0|0|0.0|0|91.1111111111111|0|9.305555555555555|0
0|2020-02-26|0.0|0|0.00025|0|133.40972222222223|0|7.708333333333333|0
0|2020-02-27|0.0004166666666666667|0|0.0014583333333333334|0|329.19940476190476|0|13.406746031746032|0
0|2020-02-28|0.00020833333333333335|0|0.0|0|317.7083333333333|0|16.770833333333332|0
0|2020-02-29|0.0|0|0.0|0|209.16666666666666|0|6.833333333333333|0
0|2020-03-01|0.0|0|0.0|0|190.83333333333334|0|10.75|0
0|2020-03-02|0.0|0|0.0|0|237.70833333333334|0|17.381944444444443|0
0|2020-03-03|0.0|0|0.0|0|231.94444444444443|0|12.604166666666666|0
0|2020-03-04|0.0|0|0.0|0|275.03472222222223|0|13.385416666666666|0
0|2020-03-05|0.0|0|0.0008333333333333334|0|71.82638888888889|0|16.884027777777778|0
0|2020-03-06|0.0008333333333333334|0|0.0|0|97.77777777777777|0|7.923611111111112|0
0|2020-03-07|0.0|0|0.0|0|181.25|0|7.666666666666667|0
0|2020-03-08|0.0|0|0.0|0|134.16666666666666|0|5.208333333333333|0
0|2020-03-09|0.0|0|0.0|0|182.84722222222226|0|7.652777777777778|0
0|2020-03-10|0.0|0|0.0|0|201.66666666666666|0|5.666666666666667|0
0|2020-03-11|0.0|0|0.0|0|168.75|0|6.083333333333333|0
0|2020-03-12|0.0|0|0.01846527777777778|0|174.5138888888889|0|8.562500000000002|0
0|2020-03-13|0.016041666666666666|0|0.008201388888888892|0|292.6041666666667|0|30.677777777777777|0
0|2020-03-14|0.00375|0|0.0|0|259.09722222222223|0|8.48611111111111|0
0|2020-03-15|0.0|0|0.0|0|74.16666666666667|0|7.354166666666667|0
0|2020-03-16|0.0|0|0.0003125|0|215.4077380952381|0|11.066170634920637|0
0|2020-03-17|0.0002777777777777778|0|0.0|0|246.38888888888889|0|17.819444444444446|0
0|2020-03-18|0.0|0|0.0|0|75.41666666666667|0|5.166666666666667|0
0|2020-03-19|0.0|0|0.0040416666666666665|0|136.02777777777777|0|6.527083333333334|0
0|2020-03-20|0.0018055555555555557|0|0.0|0|272.9583333333333|0|17.119444444444444|0
0|2020-03-21|0.0|0|0.0|0|142.29166666666666|0|4.666666666666667|0
0|2020-03-22|0.0|0|0.0|0|154.23611111111111|0|10.409722222222223|0
0|2020-03-23|0.0|0|0.0|0|240.06944444444443|0|9.194444444444445|0
0|2020-03-24|0.0|0|0.0|0|118.75|0|4.875|0
0|2020-03-25|0.0|0|0.0|0|230.20833333333334|0|10.395833333333334|0
0|2020-03-26|0.0|0|0.0|0|118.68055555555556|0|4.409722222222222|0
0|2020-03-27|0.0|0|0.0|0|83.33333333333333|0|3.625|0
0|2020-03-28|0.0|0|0.0|0|119.16666666666667|0|9.125|0
0|2020-03-29|0.005729166666666667|0|0.02659722222222223|0|53.67361111111111|0|17.351388888888884|0
0|2020-03-30|0.007083333333333334|0|0.0|0|265.2083333333333|0|17.333333333333332|0
0|2020-03-31|0.0|0|0.0|0|71.66666666666667|0|5.770833333333333|0
0|2020-04-01|0.0|0|0.0|0|82.5|0|3.3958333333333335|0
0|2020-04-02|0.0|0|0.0|0|82.08333333333333|0|6.625|0
0|2020-04-03|0.0|0|0.000625|0|136.04166666666666|0|12.791666666666666|0
0|2020-04-04|0.0020833333333333333|0|0.0020347222222222225|0|291.53472222222223|0|17.971527777777776|0
0|2020-04-05|0.0|0|0.0|0|120.0|0|5.5|0
0|2020-04-06|0.0|0|0.0|0|128.33333333333334|0|6.208333333333333|0
0|2020-04-07|0.0|0|0.0020833333333333333|0|137.0625|0|8.208333333333334|0
0|2020-04-08|0.0006944444444444445|0|0.0|0|291.90972222222223|0|13.993055555555557|0
0|2020-04-09|0.0|0|0.0004166666666666667|0|313.94444444444446|0|16.27777777777778|0
0|2020-04-10|0.0004166666666666667|0|0.0|0|240.625|0|9.916666666666666|0
0|2020-04-11|0.0|0|0.0|0|176.25|0|9.583333333333334|0
0|2020-04-12|0.0|0|0.001597222222222222|0|152.8125|0|8.413194444444443|0
0|2020-04-13|0.0008333333333333334|0|0.0023958333333333336|0|296.53472222222223|0|22.347222222222218|0
0|2020-04-14|0.0004166666666666667|0|0.0006944444444444445|0|276.3549933862434|0|17.366815476190478|0
0|2020-04-15|0.00125|0|0.0003333333333333333|0|273.9404761904762|0|11.667857142857143|0
0|2020-04-16|0.0|0|0.0|0|279.5833333333333|0|13.208333333333334|0
0|2020-04-17|0.0|0|0.0|0|242.08333333333334|0|10.333333333333334|0
0|2020-04-18|0.0|0|0.002013888888888889|0|241.66666666666666|0|12.159722222222223|0
0|2020-04-19|0.0009722222222222223|0|0.00010416666666666667|0|100.97222222222221|0|6.71875|0
0|2020-04-20|0.0|0|0.0|0|264.1666666666667|0|18.125|0
0|2020-04-21|0.0|0|0.0|0|295.97222222222223|0|19.083333333333332|0
0|2020-04-22|0.0|0|0.0|0|93.75|0|9.458333333333334|0
0|2020-04-23|0.0|0|0.0|0|97.5|0|10.916666666666666|0
0|2020-04-24|0.0|0|0.0|0|71.25|0|4.458333333333333|0
0|2020-04-25|0.0|0|0.0|0|60.833333333333336|0|6.375|0
0|2020-04-26|0.0|0|0.0|0|82.5|0|10.666666666666666|0
0|2020-04-27|0.0|0|0.008749999999999999|0|109.375|0|7.791666666666668|0
0|2020-04-28|0.009166666666666667|0|0.0025694444444444445|0|86.9861111111111|0|7.9444444444444455|0
0|2020-04-29|0.005833333333333334|0|0.0018055555555555557|0|87.11805555555556|0|12.027777777777779|0
0|2020-04-30|0.0|0|0.0|0|169.16666666666666|0|11.833333333333334|0
0|2020-05-01|0.0|0|0.0004166666666666667|0|210.0|0|6.333333333333333|0
0|2020-05-02|0.007916666666666667|0|0.0075|0|231.3888888888889|0|18.027777777777775|0
0|2020-05-03|0.0|0|0.0|0|275.6944444444444|0|16.368055555555554|0
0|2020-05-04|0.0|0|0.0|0|72.5|0|8.416666666666666|0
0|2020-05-05|0.0|0|0.0|0|95.83333333333333|0|6.791666666666667|0
0|2020-05-06|0.0|0|0.0|0|217.91666666666666|0|8.208333333333334|0
0|2020-05-07|0.0|0|0.0|0|257.4166666666667|0|11.5625|0
0|2020-05-08|5.9523809523809524e-05|0|0.0009027777777777778|0|291.79067460317464|0|14.344742063492063|0
0|2020-05-09|0.0008333333333333334|0|0.0|0|247.08333333333334|0|10.458333333333334|0
0|2020-05-10|0.0|0|0.0|0|260.26388888888886|0|11.216666666666667|0
0|2020-05-11|0.0|0|0.0|0|257.5|0|10.833333333333334|0
0|2020-05-12|0.0|0|0.0|0|159.58333333333334|0|7.125|0
0|2020-05-13|0.0|0|0.0|0|127.5|0|8.208333333333334|0
0|2020-05-14|0.004583333333333333|0|0.01479166666666667|0|164.76388888888889|0|8.234722222222222|0
0|2020-05-15|0.0023958333333333336|0|0.007500000000000001|0|148.43055555555554|0|7.271527777777777|0
0|2020-05-16|0.004583333333333333|0|0.0|0|95.41666666666667|0|8.916666666666666|0
0|2020-05-17|0.0|0|0.0|0|82.91666666666667|0|10.375|0
0|2020-05-18|0.0|0|0.0|0|85.41666666666667|0|12.416666666666666|0
0|2020-05-19|0.0|0|0.0|0|94.16666666666667|0|12.333333333333334|0
0|2020-05-20|0.0|0|0.0|0|89.58333333333333|0|9.0|0
0|2020-05-21|0.0|0|0.0|0|93.95833333333333|0|7.791666666666667|0
0|2020-05-22|0.0|0|0.0|0|109.16666666666667|0|6.625|0
0|2020-05-23|0.0|0|0.0|0|76.25|0|6.541666666666667|0
0|2020-05-24|0.0|0|0.0|0|72.5|0|5.333333333333333|0
0|2020-05-25|0.0|0|0.013999999999999999|0|107.88194444444444|0|5.35625|0
0|2020-05-26|0.030416666666666665|0|0.0175|0|121.5625|0|6.2430555555555545|0
0|2020-05-27|0.025833333333333333|0|0.006666666666666667|0|219.0277777777778|0|7.4444444444444455|0
0|2020-05-28|0.001875|0|0.0|0|116.25|0|3.875|0
0|2020-05-29|0.0|0|0.0|0|275.4166666666667|0|11.625|0
0|2020-05-30|0.00125|0|0.0007638888888888889|0|242.5|0|8.722222222222223|0
0|2020-05-31|0.0|0|0.0|0|247.08333333333334|0|14.25|0
0|2020-06-01|0.0|0|0.009416666666666669|0|131.81944444444443|0|4.836111111111111|0
0|2020-06-02|0.012083333333333333|0|0.0|0|246.7361111111111|0|11.552777777777777|0
0|2020-06-03|0.0|0|0.0|0|291.25|0|10.375|0
0|2020-06-04|0.0|0|0.0|0|197.08333333333334|0|9.166666666666666|0
0|2020-06-05|0.0|0|0.0|0|284.5833333333333|0|10.916666666666666|0
0|2020-06-06|0.0|0|0.0|0|147.70833333333334|0|7.8680555555555545|0
0|2020-06-07|0.0|0|0.0027083333333333334|0|91.04166666666667|0|9.715277777777777|0
0|2020-06-08|0.002916666666666667|0|0.0|0|110.0|0|6.833333333333333|0
0|2020-06-09|0.0|0|0.0|0|84.58333333333333|0|6.541666666666667|0
0|2020-06-10|0.010277777777777778|0|0.04675694444444444|0|231.15277777777774|0|18.497916666666665|0
0|2020-06-11|0.00375|0|0.0|0|310.0|0|19.409722222222225|0
0|2020-06-12|0.0|0|0.0|0|263.3333333333333|0|7.833333333333333|0
0|2020-06-13|0.0|0|0.0|0|121.25|0|7.916666666666667|0
0|2020-06-14|0.0|0|0.0|0|92.08333333333333|0|9.25|0
0|2020-06-15|0.0|0|0.0|0|130.41666666666666|0|8.416666666666666|0
0|2020-06-16|0.0|0|0.0|0|187.5|0|8.916666666666666|0
0|2020-06-17|0.0|0|0.0|0|151.25|0|5.541666666666667|0
0|2020-06-18|0.0|0|0.0|0|175.41666666666666|0|7.833333333333333|0
0|2020-06-19|0.0|0|0.0|0|218.2638888888889|0|8.145833333333334|0
0|2020-06-20|0.0004166666666666667|0|0.00125|0|108.61111111111113|0|3.8541666666666665|0
0|2020-06-21|0.0008333333333333334|0|0.005555555555555557|0|178.19444444444443|0|6.575694444444445|0
0|2020-06-22|0.0062499999999999995|0|0.0|0|274.3055555555556|0|8.930555555555555|0
0|2020-06-23|0.0|0|0.0|0|248.75|0|10.75|0
0|2020-06-24|0.0|0|0.0|0|299.1666666666667|0|11.125|0
0|2020-06-25|0.0|0|0.0|0|282.5|0|12.25|0
0|2020-06-26|0.0004166666666666667|0|0.0008333333333333334|0|265.625|0|9.625|0
0|2020-06-27|0.0004166666666666667|0|0.0|0|255.83333333333334|0|7.291666666666667|0
0|2020-06-28|0.0|0|0.0|0|107.5|0|7.333333333333333|0
0|2020-06-29|0.0|0|0.0020833333333333333|0|96.45833333333333|0|8.833333333333334|0
0|2020-06-30|0.0020833333333333333|0|0.0|0|94.30555555555554|0|7.527777777777778|0
0|2020-07-01|0.0|0|0.0|0|85.83333333333333|0|5.458333333333333|0
0|2020-07-02|0.0|0|0.0|0|282.0833333333333|0|8.5|0
0|2020-07-03|0.0|0|0.0|0|175.41666666666666|0|6.291666666666667|0
0|2020-07-04|0.0|0|0.0|0|81.25|0|4.041666666666667|0
0|2020-07-05|0.0|0|0.0|0|111.25|0|5.34375|0
0|2020-07-06|0.0062499999999999995|0|0.025696428571428575|0|193.97619047619048|0|6.913392857142857|0
0|2020-07-07|0.0275|0|0.0|0|258.19444444444446|0|10.359027777777778|0
0|2020-07-08|0.0|0|0.0|0|110.41666666666667|0|4.583333333333333|0
0|2020-07-09|0.017916666666666668|0|0.012083333333333335|0|189.79166666666666|0|9.104166666666666|0
0|2020-07-10|0.0|0|0.0|0|293.3333333333333|0|10.333333333333334|0
0|2020-07-11|0.0|0|0.0|0|282.5|0|8.958333333333334|0
0|2020-07-12|0.0|0|0.0|0|316.25|0|7.583333333333333|0
0|2020-07-13|0.0|0|0.0|0|142.91666666666666|0|6.166666666666667|0
0|2020-07-14|0.017916666666666668|0|0.021908730158730166|0|183.84325396825398|0|8.89126984126984|0
0|2020-07-15|0.012083333333333333|0|0.0|0|242.5|0|8.5625|0
0|2020-07-16|0.0|0|0.0004166666666666667|0|211.94444444444446|0|7.951388888888888|0
