|dates|Bartholomew_Indiana_UnitedStates.BLS_EmployedPopulation.data|Bartholomew_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Bartholomew_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Bartholomew_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Bartholomew_Indiana_UnitedStates.BLS_UnemploymentRate.data|Bartholomew_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Bartholomew_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Bartholomew_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-02|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-03|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-04|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-05|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-06|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-07|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-08|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-09|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-10|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-11|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-12|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-13|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-14|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-15|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-16|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-17|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-18|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-19|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-20|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-21|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-22|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-23|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-24|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-25|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-26|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-27|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-28|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-29|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-30|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-01-31|43963.5|0|1245.5|0|2.7549824150058617|0|45209.0|0
0|2020-02-01|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-02|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-03|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-04|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-05|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-06|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-07|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-08|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-09|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-10|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-11|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-12|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-13|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-14|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-15|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-16|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-17|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-18|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-19|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-20|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-21|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-22|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-23|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-24|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-25|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-26|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-27|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-28|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-02-29|43951.5|0|1131.5|0|2.509815229687465|0|45083.0|0
0|2020-03-01|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-02|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-03|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-04|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-05|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-06|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-07|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-08|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-09|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-10|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-11|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-12|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-13|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-14|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-15|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-16|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-17|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-18|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-19|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-20|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-21|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-22|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-23|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-24|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-25|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-26|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-27|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-28|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-29|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-30|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-03-31|42913.0|0|1122.5|0|2.549079719771548|0|44035.5|0
0|2020-04-01|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-02|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-03|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-04|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-05|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-06|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-07|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-08|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-09|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-10|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-11|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-12|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-13|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-14|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-15|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-16|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-17|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-18|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-19|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-20|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-21|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-22|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-23|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-24|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-25|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-26|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-27|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-28|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-29|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-04-30|34238.0|0|7475.0|0|17.9200728789586|0|41713.0|0
0|2020-05-01|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-02|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-03|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-04|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-05|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-06|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-07|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-08|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-09|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-10|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-11|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-12|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-13|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-14|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-15|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-16|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-17|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-18|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-19|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-20|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-21|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-22|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-23|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-24|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-25|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-26|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-27|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-28|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-29|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-30|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-05-31|37100.0|0|5581.0|0|13.07607600571683|0|42681.0|0
0|2020-06-01|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-02|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-03|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-04|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-05|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-06|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-07|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-08|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-09|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-10|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-11|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-12|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-13|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-14|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-15|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-16|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-17|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-18|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-19|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-20|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-21|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-22|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-23|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-24|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-25|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-26|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-27|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-28|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-29|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-06-30|38948.0|0|4253.0|0|9.844679521307377|0|43201.0|0
0|2020-07-01|40602.0|0|3366.0|0|7.65556768558952|0|43968.0|0
0|2020-07-02|40602.0|0|3366.0|0|7.65556768558952|0|43968.0|0
0|2020-07-03|40602.0|0|3366.0|0|7.65556768558952|0|43968.0|0
0|2020-07-04|40602.0|0|3366.0|0|7.65556768558952|0|43968.0|0
0|2020-07-05|40602.0|0|3366.0|0|7.65556768558952|0|43968.0|0
0|2020-07-06|40602.0|0|3366.0|0|7.65556768558952|0|43968.0|0
0|2020-07-07|40602.0|0|3366.0|0|7.65556768558952|0|43968.0|0
