|dates|Bath_Virginia_UnitedStates.BLS_EmployedPopulation.data|Bath_Virginia_UnitedStates.BLS_EmployedPopulation.missing|Bath_Virginia_UnitedStates.BLS_UnemployedPopulation.data|Bath_Virginia_UnitedStates.BLS_UnemployedPopulation.missing|Bath_Virginia_UnitedStates.BLS_UnemploymentRate.data|Bath_Virginia_UnitedStates.BLS_UnemploymentRate.missing|Bath_Virginia_UnitedStates.BLS_LaborForcePopulation.data|Bath_Virginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-02|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-03|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-04|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-05|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-06|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-07|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-08|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-09|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-10|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-11|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-12|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-13|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-14|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-15|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-16|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-17|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-18|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-19|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-20|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-21|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-22|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-23|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-24|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-25|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-26|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-27|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-28|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-29|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-30|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-01-31|2431.0|0|80.5|0|3.205255823213219|0|2511.5|0
0|2020-02-01|2426.0|0|67.0|0|2.6875250701965503|0|2493.0|0
0|2020-02-02|2426.0|0|67.0|0|2.6875250701965503|0|2493.0|0
0|2020-02-03|2426.0|0|67.0|0|2.6875250701965503|0|2493.0|0
0|2020-02-04|2426.0|0|67.0|0|2.6875250701965503|0|2493.0|0
0|2020-02-05|2426.0|0|67.0|0|2.6875250701965503|0|2493.0|0
0|2020-02-06|2426.0|0|67.0|0|2.6875250701965503|0|2493.0|0
0|2020-02-07|2426.0|0|67.0|0|2.6875250701965503|0|2493.0|0
0|2020-02-08|2426.0|0|67.0|0|2.6875250701965503|0|2493.0|0
0|2020-02-09|2426.0|0|67.0|0|2.6875250701965503|0|2493.0|0
0|2020-02-10|2426.0|0|67.0|0|2.6875250701965503|0|2493.0|0
