|dates|BigHorn_Montana_UnitedStates.BLS_EmployedPopulation.data|BigHorn_Montana_UnitedStates.BLS_EmployedPopulation.missing|BigHorn_Montana_UnitedStates.BLS_UnemployedPopulation.data|BigHorn_Montana_UnitedStates.BLS_UnemployedPopulation.missing|BigHorn_Montana_UnitedStates.BLS_UnemploymentRate.data|BigHorn_Montana_UnitedStates.BLS_UnemploymentRate.missing|BigHorn_Montana_UnitedStates.BLS_LaborForcePopulation.data|BigHorn_Montana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-02|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-03|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-04|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-05|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-06|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-07|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-08|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-09|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-10|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-11|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-12|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-13|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-14|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-15|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-16|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-17|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-18|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-19|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-20|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-21|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-22|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-23|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-24|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-25|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-26|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-27|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-28|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-29|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-30|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-01-31|4431.0|0|348.5|0|7.291557694319489|0|4779.5|0
0|2020-02-01|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-02|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-03|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-04|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-05|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-06|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-07|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-08|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-09|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-10|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-11|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-12|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-13|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-14|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-15|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-16|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-17|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-18|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-19|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-20|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-21|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-22|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-23|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-24|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-25|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-26|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
0|2020-02-27|4477.5|0|348.5|0|7.221301284707833|0|4826.0|0
