|dates|Campbell_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Campbell_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Campbell_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Campbell_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Campbell_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Campbell_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Campbell_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Campbell_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-02|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-03|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-04|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-05|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-06|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-07|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-08|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-09|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-10|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-11|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-12|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-13|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-14|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-15|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-16|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-17|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-18|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-19|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-20|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-21|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-22|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-23|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-24|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-25|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-26|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-27|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-28|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-29|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-30|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-01-31|14142.0|0|796.5|0|5.331860628577166|0|14938.5|0
0|2020-02-01|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-02|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-03|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-04|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-05|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-06|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-07|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-08|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-09|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-10|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-11|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-12|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-13|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-14|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-15|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-16|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-17|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-18|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-19|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-20|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-21|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-22|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-23|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-24|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-25|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-26|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-27|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-28|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-02-29|14243.0|0|788.5|0|5.245650799986695|0|15031.5|0
0|2020-03-01|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-02|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-03|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-04|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-05|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-06|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-07|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-08|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-09|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-10|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-11|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-12|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-13|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-14|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-15|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-16|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-17|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-18|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-19|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-20|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-21|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-22|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-23|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-24|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-25|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-26|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-27|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-28|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-29|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
0|2020-03-30|14223.0|0|748.0|0|4.996326230712711|0|14971.0|0
