|dates|Chambers_Texas_UnitedStates.BLS_EmployedPopulation.data|Chambers_Texas_UnitedStates.BLS_EmployedPopulation.missing|Chambers_Texas_UnitedStates.BLS_UnemployedPopulation.data|Chambers_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Chambers_Texas_UnitedStates.BLS_UnemploymentRate.data|Chambers_Texas_UnitedStates.BLS_UnemploymentRate.missing|Chambers_Texas_UnitedStates.BLS_LaborForcePopulation.data|Chambers_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-02|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-03|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-04|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-05|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-06|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-07|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-08|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-09|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-10|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-11|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-12|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-13|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-14|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-15|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-16|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-17|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-18|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-19|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-20|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-21|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-22|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-23|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-24|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-25|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-26|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-27|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-28|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-29|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-30|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-01-31|18923.0|0|999.0|0|5.014556771408493|0|19922.0|0
0|2020-02-01|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-02|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-03|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-04|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-05|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-06|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-07|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-08|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-09|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-10|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-11|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-12|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-13|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-14|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-15|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-16|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-17|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-18|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-19|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-20|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-21|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-22|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-23|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-24|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-25|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-26|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-27|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-28|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-02-29|19141.5|0|918.0|0|4.576385253869738|0|20059.5|0
0|2020-03-01|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-02|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-03|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-04|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-05|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-06|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-07|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-08|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-09|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-10|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-11|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-12|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-13|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-14|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-15|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-16|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-17|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-18|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-19|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-20|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-21|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-22|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-23|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-24|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-25|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-26|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-27|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-28|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-29|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-30|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-03-31|18444.5|0|1304.0|0|6.603033141757602|0|19748.5|0
0|2020-04-01|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-02|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-03|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-04|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-05|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-06|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-07|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-08|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-09|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-10|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-11|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-12|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-13|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-14|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-15|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-16|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-17|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-18|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-19|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-20|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-21|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-22|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-23|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-24|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-25|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-26|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-27|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-28|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-29|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-04-30|15888.5|0|2729.0|0|14.658251644957701|0|18617.5|0
0|2020-05-01|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-02|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-03|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-04|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-05|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-06|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-07|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-08|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-09|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-10|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-11|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-12|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-13|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-14|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-15|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-16|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-17|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-18|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-19|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-20|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-21|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-22|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-23|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-24|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-25|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
0|2020-05-26|16745.0|0|2548.0|0|13.206862592650184|0|19293.0|0
