|dates|Clayton_Iowa_UnitedStates.AverageDailyTemperature.data|Clayton_Iowa_UnitedStates.AverageDailyTemperature.missing|Clayton_Iowa_UnitedStates.AverageDewPoint.data|Clayton_Iowa_UnitedStates.AverageDewPoint.missing|Clayton_Iowa_UnitedStates.AverageRelativeHumidity.data|Clayton_Iowa_UnitedStates.AverageRelativeHumidity.missing|Clayton_Iowa_UnitedStates.AverageSurfaceAirPressure.data|Clayton_Iowa_UnitedStates.AverageSurfaceAirPressure.missing
0|2020-01-01|30.875|0|21.385416666666668|0|69.5625|0|28.87354166666665|0
0|2020-01-02|39.307291666666664|0|31.46875|0|73.97395833333333|0|28.83703125000001|0
0|2020-01-03|33.375|0|27.661458333333332|0|80.27083333333333|0|29.13453124999998|0
0|2020-01-04|27.895833333333332|0|22.864583333333332|0|81.73958333333333|0|29.350416666666675|0
0|2020-01-05|32.46875|0|24.177083333333332|0|71.8125|0|29.236562500000016|0
0|2020-01-06|30.953125|0|19.421875|0|62.802083333333336|0|29.394687500000018|0
0|2020-01-07|29.072916666666668|0|19.833333333333332|0|68.82291666666667|0|29.32531249999997|0
0|2020-01-08|15.489583333333334|0|1.8541666666666667|0|55.135416666666664|0|29.603750000000023|0
0|2020-01-09|36.90625|0|25.927083333333332|0|65.25|0|29.14999999999998|0
0|2020-01-10|28.666666666666668|0|21.9375|0|75.95833333333333|0|29.394166666666667|0
0|2020-01-11|21.770833333333332|0|9.177083333333334|0|58.583333333333336|0|29.359687499999993|0
0|2020-01-12|20.708333333333332|0|14.270833333333334|0|76.42708333333333|0|29.503541666666624|0
0|2020-01-13|28.677083333333332|0|23.947916666666668|0|82.91666666666667|0|29.47843749999997|0
0|2020-01-14|29.015625|0|24.838541666666668|0|84.66666666666667|0|29.374531249999965|0
0|2020-01-15|18.65625|0|14.40625|0|83.94791666666667|0|29.47062500000003|0
0|2020-01-16|3.5625|0|-6.739583333333333|0|63.020833333333336|0|30.005052083333343|0
0|2020-01-17|16.90625|0|10.59375|0|76.70833333333333|0|29.744687499999998|0
0|2020-01-18|17.541666666666668|0|12.166666666666666|0|79.66666666666667|0|29.1915625|0
0|2020-01-19|8.177083333333334|0|0.3072916666666667|0|70.5625|0|29.68989583333334|0
0|2020-01-20|14.572916666666666|0|8.333333333333334|0|76.67708333333333|0|29.90343750000002|0
0|2020-01-21|12.625|0|6.307291666666667|0|76.20833333333333|0|29.746875000000006|0
0|2020-01-22|29.135416666666668|0|22.40625|0|76.45833333333333|0|29.349114583333318|0
0|2020-01-23|31.234375|0|28.401041666666668|0|89.69791666666667|0|29.280937500000007|0
0|2020-01-24|33.0|0|30.802083333333332|0|91.625|0|29.192812500000013|0
0|2020-01-25|33.125|0|28.708333333333332|0|83.72916666666667|0|29.182812499999986|0
0|2020-01-26|28.729166666666668|0|23.666666666666668|0|81.35416666666667|0|29.22604166666665|0
0|2020-01-27|29.015625|0|23.484375|0|79.83854166666667|0|29.313749999999974|0
0|2020-01-28|24.614583333333332|0|19.302083333333332|0|80.30208333333333|0|29.419166666666666|0
0|2020-01-29|25.5|0|19.03125|0|76.32291666666667|0|29.491145833333363|0
