|dates|Cumberland_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Cumberland_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Cumberland_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Cumberland_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Cumberland_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Cumberland_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Cumberland_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Cumberland_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-02|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-03|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-04|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-05|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-06|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-07|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-08|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-09|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-10|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-11|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-12|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-13|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-14|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-15|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-16|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-17|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-18|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-19|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-20|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-21|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-22|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-23|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-24|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-25|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-26|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-27|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-28|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-29|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-30|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-01-31|127966.0|0|4990.5|0|3.753483282126109|0|132956.5|0
0|2020-02-01|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-02|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-03|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-04|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-05|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-06|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-07|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-08|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-09|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-10|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-11|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-12|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-13|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-14|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-15|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-16|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-17|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-18|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-19|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-20|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-21|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-22|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-23|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-24|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-25|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-26|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-27|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-28|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-02-29|128031.5|0|5035.0|0|3.783822374527022|0|133066.5|0
0|2020-03-01|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-02|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-03|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-04|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-05|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-06|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-07|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-08|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-09|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-10|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-11|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-12|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-13|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-14|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-15|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-16|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-17|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-18|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-19|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-20|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-21|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-22|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-23|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-24|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-25|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-26|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-27|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-28|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-29|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-30|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-03-31|126386.5|0|5422.5|0|4.113907244573587|0|131809.0|0
0|2020-04-01|112961.0|0|15620.0|0|12.14798453892877|0|128581.0|0
0|2020-04-02|112961.0|0|15620.0|0|12.14798453892877|0|128581.0|0
0|2020-04-03|112961.0|0|15620.0|0|12.14798453892877|0|128581.0|0
0|2020-04-04|112961.0|0|15620.0|0|12.14798453892877|0|128581.0|0
0|2020-04-05|112961.0|0|15620.0|0|12.14798453892877|0|128581.0|0
0|2020-04-06|112961.0|0|15620.0|0|12.14798453892877|0|128581.0|0
