|dates|Duval_Texas_UnitedStates.BLS_EmployedPopulation.data|Duval_Texas_UnitedStates.BLS_EmployedPopulation.missing|Duval_Texas_UnitedStates.BLS_UnemployedPopulation.data|Duval_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Duval_Texas_UnitedStates.BLS_UnemploymentRate.data|Duval_Texas_UnitedStates.BLS_UnemploymentRate.missing|Duval_Texas_UnitedStates.BLS_LaborForcePopulation.data|Duval_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-02|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-03|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-04|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-05|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-06|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-07|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-08|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-09|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-10|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-11|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-12|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-13|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-14|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-15|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-16|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-17|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-18|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-19|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-20|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-21|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-22|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-23|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-24|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-25|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-26|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-27|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-28|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-29|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-30|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-01-31|4634.5|0|262.5|0|5.360424749846845|0|4897.0|0
0|2020-02-01|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-02|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-03|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-04|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-05|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-06|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-07|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-08|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-09|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-10|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-11|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-12|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-13|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-14|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-15|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-16|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-17|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-18|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-19|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-20|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-21|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-22|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-23|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-24|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-25|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-26|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-27|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-28|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-02-29|4657.0|0|255.0|0|5.191368078175896|0|4912.0|0
0|2020-03-01|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-02|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-03|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-04|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-05|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-06|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-07|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-08|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-09|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-10|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-11|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-12|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-13|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-14|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-15|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-16|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-17|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-18|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-19|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-20|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-21|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-22|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-23|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-24|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-25|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-26|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-27|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-28|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-29|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-30|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-03-31|4521.0|0|355.0|0|7.280557834290402|0|4876.0|0
0|2020-04-01|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-02|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-03|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-04|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-05|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-06|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-07|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-08|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-09|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-10|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-11|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-12|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-13|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-14|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-15|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-16|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-17|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-18|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-19|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-20|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-21|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-22|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-23|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-24|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-25|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-26|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-27|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-28|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-29|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-04-30|3948.5|0|703.0|0|15.113404278189831|0|4651.5|0
0|2020-05-01|4042.0|0|802.0|0|16.556564822460775|0|4844.0|0
0|2020-05-02|4042.0|0|802.0|0|16.556564822460775|0|4844.0|0
0|2020-05-03|4042.0|0|802.0|0|16.556564822460775|0|4844.0|0
0|2020-05-04|4042.0|0|802.0|0|16.556564822460775|0|4844.0|0
0|2020-05-05|4042.0|0|802.0|0|16.556564822460775|0|4844.0|0
0|2020-05-06|4042.0|0|802.0|0|16.556564822460775|0|4844.0|0
0|2020-05-07|4042.0|0|802.0|0|16.556564822460775|0|4844.0|0
0|2020-05-08|4042.0|0|802.0|0|16.556564822460775|0|4844.0|0
0|2020-05-09|4042.0|0|802.0|0|16.556564822460775|0|4844.0|0
0|2020-05-10|4042.0|0|802.0|0|16.556564822460775|0|4844.0|0
0|2020-05-11|4042.0|0|802.0|0|16.556564822460775|0|4844.0|0
0|2020-05-12|4042.0|0|802.0|0|16.556564822460775|0|4844.0|0
0|2020-05-13|4042.0|0|802.0|0|16.556564822460775|0|4844.0|0
0|2020-05-14|4042.0|0|802.0|0|16.556564822460775|0|4844.0|0
