|dates|Edwards_Illinois_UnitedStates.BLS_EmployedPopulation.data|Edwards_Illinois_UnitedStates.BLS_EmployedPopulation.missing|Edwards_Illinois_UnitedStates.BLS_UnemployedPopulation.data|Edwards_Illinois_UnitedStates.BLS_UnemployedPopulation.missing|Edwards_Illinois_UnitedStates.BLS_UnemploymentRate.data|Edwards_Illinois_UnitedStates.BLS_UnemploymentRate.missing|Edwards_Illinois_UnitedStates.BLS_LaborForcePopulation.data|Edwards_Illinois_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-02|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-03|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-04|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-05|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-06|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-07|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-08|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-09|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-10|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-11|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-12|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-13|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-14|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-15|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-16|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-17|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-18|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-19|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-20|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-21|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-22|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-23|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-24|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-25|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-26|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-27|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-28|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-29|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-30|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-01-31|2494.5|0|113.0|0|4.333652924256951|0|2607.5|0
0|2020-02-01|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-02|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-03|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-04|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-05|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-06|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-07|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-08|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-09|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-10|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-11|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-12|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-13|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-14|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-15|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-16|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-17|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-18|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-19|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-20|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-21|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-22|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-23|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-24|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-25|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-26|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-27|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-28|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-02-29|2494.5|0|110.0|0|4.223459397197159|0|2604.5|0
0|2020-03-01|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-02|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-03|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-04|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-05|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-06|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-07|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-08|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-09|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-10|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-11|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-12|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-13|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-14|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-15|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-16|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-17|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-18|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-19|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-20|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-21|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-22|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-23|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-24|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-25|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-26|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-27|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-28|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-29|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-30|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-03-31|2434.0|0|105.0|0|4.1354864119732175|0|2539.0|0
0|2020-04-01|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-02|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-03|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-04|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-05|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-06|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-07|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-08|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-09|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-10|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-11|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-12|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-13|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-14|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-15|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-16|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-17|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-18|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-19|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-20|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-21|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-22|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-23|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-24|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-25|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-26|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-27|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-28|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-29|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-04-30|2164.5|0|606.0|0|21.873308067135895|0|2770.5|0
0|2020-05-01|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-02|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-03|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-04|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-05|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-06|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-07|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-08|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-09|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-10|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-11|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-12|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-13|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-14|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-15|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-16|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-17|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-18|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-19|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-20|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-21|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-22|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-23|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-24|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-25|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-26|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-27|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-28|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-29|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-30|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-05-31|2139.0|0|365.0|0|14.57667731629393|0|2504.0|0
0|2020-06-01|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-02|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-03|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-04|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-05|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-06|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-07|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-08|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-09|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-10|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-11|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-12|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-13|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-14|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-15|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-16|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-17|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-18|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-19|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-20|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-21|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-22|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-23|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-24|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-25|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-26|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-27|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-28|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-29|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-06-30|2429.0|0|304.0|0|11.123307720453713|0|2733.0|0
0|2020-07-01|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-02|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-03|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-04|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-05|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-06|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-07|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-08|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-09|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-10|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-11|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-12|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-13|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-14|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-15|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-16|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-17|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-18|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-19|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-20|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-21|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-22|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-23|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-24|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-25|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-26|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-27|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-28|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-29|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-30|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-07-31|2533.0|0|271.0|0|9.664764621968617|0|2804.0|0
0|2020-08-01|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-02|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-03|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-04|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-05|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-06|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-07|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-08|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-09|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-10|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-11|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-12|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-13|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-14|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-15|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-16|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-17|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-18|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-19|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-20|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-21|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-22|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-23|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-24|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-25|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-26|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-27|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-28|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-29|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-30|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-08-31|2584.0|0|168.0|0|6.104651162790698|0|2752.0|0
0|2020-09-01|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-02|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-03|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-04|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-05|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-06|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-07|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-08|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-09|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-10|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-11|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-12|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-13|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-14|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-15|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-16|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-17|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-18|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-19|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-20|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-21|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-22|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-23|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-24|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-25|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-26|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-27|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-28|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
0|2020-09-29|2536.0|0|157.0|0|5.829929446713702|0|2693.0|0
