|dates|Erath_Texas_UnitedStates.AveragePrecipitationTotal.data|Erath_Texas_UnitedStates.AveragePrecipitationTotal.missing|Erath_Texas_UnitedStates.AveragePrecipitation.data|Erath_Texas_UnitedStates.AveragePrecipitation.missing|Erath_Texas_UnitedStates.AverageWindDirection.data|Erath_Texas_UnitedStates.AverageWindDirection.missing|Erath_Texas_UnitedStates.AverageWindSpeed.data|Erath_Texas_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|176.5625|0|9.65625|0
0|2020-01-02|0.0|0|0.0|0|190.46875|0|6.84375|0
0|2020-01-03|0.0|0|0.0|0|312.0833333333333|0|9.364583333333334|0
0|2020-01-04|0.0|0|0.0|0|150.72916666666666|0|3.8020833333333335|0
0|2020-01-05|0.0|0|0.0|0|257.1875|0|7.802083333333333|0
0|2020-01-06|0.0|0|0.0|0|243.02083333333334|0|5.46875|0
0|2020-01-07|0.0|0|0.0|0|186.25|0|4.041666666666667|0
0|2020-01-08|0.0|0|0.0|0|166.45833333333334|0|10.333333333333334|0
0|2020-01-09|0.0|0|0.0|0|178.33333333333334|0|11.197916666666666|0
0|2020-01-10|0.0|0|0.11536458333333328|0|176.71875|0|11.880208333333334|0
0|2020-01-11|0.0|0|0.0|0|247.91666666666666|0|10.59375|0
0|2020-01-12|0.0|0|0.0|0|170.625|0|8.104166666666666|0
0|2020-01-13|0.0|0|0.0|0|170.26041666666666|0|8.411458333333334|0
0|2020-01-14|0.0|0|0.0|0|179.0625|0|5.760416666666667|0
0|2020-01-15|0.0|0|0.0|0|217.29166666666666|0|7.125|0
0|2020-01-16|0.004583333333333333|0|0.010833333333333335|0|272.6041666666667|0|10.46875|0
0|2020-01-17|0.004166666666666667|0|0.005520833333333333|0|207.08333333333334|0|5.15625|0
0|2020-01-18|0.002916666666666667|0|0.0|0|273.9583333333333|0|12.010416666666666|0
0|2020-01-19|0.0|0|0.0|0|132.91666666666666|0|4.697916666666667|0
0|2020-01-20|0.0|0|0.0|0|87.08333333333333|0|1.5104166666666667|0
