|dates|Erie_Ohio_UnitedStates.AveragePrecipitationTotal.data|Erie_Ohio_UnitedStates.AveragePrecipitationTotal.missing|Erie_Ohio_UnitedStates.AveragePrecipitation.data|Erie_Ohio_UnitedStates.AveragePrecipitation.missing|Erie_Ohio_UnitedStates.AverageWindDirection.data|Erie_Ohio_UnitedStates.AverageWindDirection.missing|Erie_Ohio_UnitedStates.AverageWindSpeed.data|Erie_Ohio_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.00125|0|0.0|0|237.84722222222226|0|13.097222222222223|0
0|2020-01-02|0.0|0|0.0|0|207.08333333333334|0|12.395833333333334|0
0|2020-01-03|0.000625|0|0.0032638888888888887|0|201.4236111111111|0|4.996527777777778|0
0|2020-01-04|0.005833333333333334|0|0.006993055555555555|0|269.2569444444444|0|9.205555555555556|0
0|2020-01-05|0.0033333333333333335|0|0.0|0|254.79166666666666|0|13.715277777777777|0
0|2020-01-06|0.0|0|0.0|0|262.0833333333333|0|13.333333333333334|0
0|2020-01-07|0.0|0|0.0|0|231.66666666666666|0|8.666666666666666|0
0|2020-01-08|0.0|0|0.0|0|275.2083333333333|0|13.041666666666666|0
0|2020-01-09|0.0|0|0.00125|0|169.58333333333334|0|14.333333333333334|0
0|2020-01-10|0.02291666666666667|0|0.03929166666666668|0|194.66666666666666|0|13.231944444444444|0
0|2020-01-11|0.02125|0|0.012173611111111112|0|169.23611111111111|0|13.84375|0
0|2020-01-12|0.005833333333333333|0|0.0016666666666666668|0|202.42063492063494|0|10.625992063492063|0
0|2020-01-13|0.0|0|0.0|0|185.625|0|6.6875|0
0|2020-01-14|0.0|0|0.0|0|206.94444444444446|0|9.277777777777779|0
0|2020-01-15|0.0|0|0.001736111111111111|0|183.85416666666666|0|8.264583333333334|0
0|2020-01-16|0.0020833333333333333|0|0.0|0|308.1944444444444|0|16.375|0
0|2020-01-17|0.0|0|0.0|0|127.19444444444446|0|8.345833333333333|0
0|2020-01-18|0.0075|0|0.018611111111111116|0|206.04166666666666|0|19.461805555555557|0
0|2020-01-19|0.008333333333333333|0|0.0|0|275.40277777777777|0|16.318055555555556|0
0|2020-01-20|0.00020833333333333335|0|0.0006944444444444445|0|284.72222222222223|0|7.451388888888888|0
0|2020-01-21|0.0004166666666666667|0|0.0|0|233.05555555555557|0|6.979166666666667|0
0|2020-01-22|0.0|0|0.0|0|188.33333333333334|0|8.291666666666666|0
0|2020-01-23|0.0|0|0.0|0|162.5|0|7.375|0
0|2020-01-24|0.00125|0|0.022361111111111113|0|151.70138888888889|0|11.142361111111109|0
0|2020-01-25|0.008749999999999999|0|0.0027430555555555554|0|238.05555555555557|0|11.5|0
0|2020-01-26|0.0016666666666666668|0|0.0|0|257.5|0|15.1875|0
0|2020-01-27|0.0|0|0.0|0|297.9861111111111|0|9.611111111111112|0
0|2020-01-28|0.0|0|0.0|0|269.37499999999994|0|7.531249999999999|0
0|2020-01-29|0.0|0|0.0|0|45.041666666666664|0|6.294444444444444|0
0|2020-01-30|0.0|0|0.0|0|75.13888888888889|0|1.8333333333333333|0
0|2020-01-31|0.0|0|0.0|0|104.16666666666667|0|2.5|0
0|2020-02-01|0.0|0|0.0013541666666666667|0|158.50694444444443|0|6.135416666666667|0
0|2020-02-02|0.0008333333333333334|0|0.0|0|257.84722222222223|0|16.11111111111111|0
