|dates|Franklin_Alabama_UnitedStates.BLS_EmployedPopulation.data|Franklin_Alabama_UnitedStates.BLS_EmployedPopulation.missing|Franklin_Alabama_UnitedStates.BLS_UnemployedPopulation.data|Franklin_Alabama_UnitedStates.BLS_UnemployedPopulation.missing|Franklin_Alabama_UnitedStates.BLS_UnemploymentRate.data|Franklin_Alabama_UnitedStates.BLS_UnemploymentRate.missing|Franklin_Alabama_UnitedStates.BLS_LaborForcePopulation.data|Franklin_Alabama_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-02|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-03|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-04|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-05|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-06|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-07|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-08|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-09|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-10|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-11|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-12|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-13|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-14|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-15|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-16|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-17|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-18|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-19|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-20|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-21|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-22|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-23|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-24|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-25|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-26|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-27|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-28|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-29|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-30|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-01-31|14044.5|0|445.5|0|3.0745341614906834|0|14490.0|0
0|2020-02-01|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-02|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-03|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-04|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-05|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-06|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-07|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-08|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-09|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-10|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-11|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-12|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-13|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-14|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-15|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-16|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-17|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-18|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-19|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-20|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-21|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-22|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-23|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-24|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-25|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-26|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-27|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-28|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-02-29|14204.5|0|509.0|0|3.4594080266421994|0|14713.5|0
0|2020-03-01|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-02|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-03|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-04|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-05|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-06|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-07|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-08|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-09|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-10|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-11|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-12|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-13|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-14|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-15|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-16|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-17|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-18|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-19|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-20|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-21|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-22|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-23|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-24|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-25|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-26|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-27|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-28|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-29|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-30|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-03-31|14148.0|0|390.5|0|2.685971730233518|0|14538.5|0
0|2020-04-01|12662.5|0|1552.0|0|10.918428365401526|0|14214.5|0
