|dates|Gallatin_Illinois_UnitedStates.BLS_EmployedPopulation.data|Gallatin_Illinois_UnitedStates.BLS_EmployedPopulation.missing|Gallatin_Illinois_UnitedStates.BLS_UnemployedPopulation.data|Gallatin_Illinois_UnitedStates.BLS_UnemployedPopulation.missing|Gallatin_Illinois_UnitedStates.BLS_UnemploymentRate.data|Gallatin_Illinois_UnitedStates.BLS_UnemploymentRate.missing|Gallatin_Illinois_UnitedStates.BLS_LaborForcePopulation.data|Gallatin_Illinois_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-02|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-03|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-04|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-05|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-06|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-07|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-08|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-09|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-10|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-11|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-12|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-13|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-14|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-15|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-16|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-17|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-18|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-19|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-20|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-21|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-22|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-23|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-24|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-25|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-26|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-27|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-28|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-29|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-30|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-01-31|2094.5|0|113.0|0|5.118912797281993|0|2207.5|0
0|2020-02-01|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-02|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-03|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-04|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-05|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-06|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-07|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-08|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-09|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-10|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-11|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-12|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-13|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-14|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-15|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-16|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-17|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-18|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-19|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-20|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-21|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-22|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-23|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-24|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-25|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-26|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-27|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-28|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-02-29|2053.5|0|105.0|0|4.864489228630994|0|2158.5|0
0|2020-03-01|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-02|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-03|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-04|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-05|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-06|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-07|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-08|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-09|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-10|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-11|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-12|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-13|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-14|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-15|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-16|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-17|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-18|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-19|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-20|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-21|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-22|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-23|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-24|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-25|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-26|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-27|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-28|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-29|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-30|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-03-31|1992.5|0|101.0|0|4.8244566515404825|0|2093.5|0
0|2020-04-01|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-02|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-03|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-04|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-05|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-06|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-07|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-08|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-09|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-10|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-11|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-12|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-13|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-14|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-15|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-16|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-17|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-18|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-19|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-20|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-21|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-22|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-23|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-24|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-25|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-26|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-27|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-28|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-29|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-04-30|1722.0|0|323.5|0|15.81520410657541|0|2045.5|0
0|2020-05-01|1689.0|0|294.0|0|14.826021180030256|0|1983.0|0
0|2020-05-02|1689.0|0|294.0|0|14.826021180030256|0|1983.0|0
0|2020-05-03|1689.0|0|294.0|0|14.826021180030256|0|1983.0|0
0|2020-05-04|1689.0|0|294.0|0|14.826021180030256|0|1983.0|0
0|2020-05-05|1689.0|0|294.0|0|14.826021180030256|0|1983.0|0
0|2020-05-06|1689.0|0|294.0|0|14.826021180030256|0|1983.0|0
0|2020-05-07|1689.0|0|294.0|0|14.826021180030256|0|1983.0|0
