|dates|Galveston_Texas_UnitedStates.AveragePrecipitationTotal.data|Galveston_Texas_UnitedStates.AveragePrecipitationTotal.missing|Galveston_Texas_UnitedStates.AveragePrecipitation.data|Galveston_Texas_UnitedStates.AveragePrecipitation.missing|Galveston_Texas_UnitedStates.AverageWindDirection.data|Galveston_Texas_UnitedStates.AverageWindDirection.missing|Galveston_Texas_UnitedStates.AverageWindSpeed.data|Galveston_Texas_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0033333333333333335|0|75.3125|0|8.4125|0
0|2020-01-02|0.002638888888888889|0|0.015208333333333336|0|142.60416666666666|0|6.336805555555556|0
0|2020-01-03|0.01375|0|0.0|0|237.77777777777774|0|8.402777777777779|0
0|2020-01-04|0.0|0|0.0|0|199.16666666666666|0|7.458333333333333|0
0|2020-01-05|0.0|0|0.0|0|178.93055555555554|0|6.1000000000000005|0
0|2020-01-06|0.0|0|0.0|0|151.66666666666666|0|5.458333333333333|0
0|2020-01-07|0.0|0|0.0|0|180.41666666666666|0|10.333333333333334|0
0|2020-01-08|0.0|0|0.0|0|92.5|0|10.166666666666666|0
0|2020-01-09|0.0|0|0.0|0|139.0972222222222|0|13.409722222222223|0
0|2020-01-10|0.0|0|0.0|0|137.91666666666666|0|16.541666666666668|0
0|2020-01-11|0.005|0|0.003833333333333333|0|307.56944444444446|0|14.174999999999999|0
0|2020-01-12|0.0|0|0.0|0|70.20833333333333|0|8.888888888888888|0
0|2020-01-13|0.0001388888888888889|0|0.003159722222222222|0|58.388888888888886|0|9.385416666666668|0
0|2020-01-14|0.0016666666666666668|0|0.005|0|172.20833333333334|0|10.204166666666667|0
0|2020-01-15|0.0025|0|0.0|0|137.0902777777778|0|8.75|0
0|2020-01-16|0.0|0|0.0|0|83.61111111111111|0|8.739583333333334|0
0|2020-01-17|0.0|0|0.0004166666666666667|0|79.44444444444444|0|13.611111111111112|0
0|2020-01-18|0.0001388888888888889|0|0.03376388888888889|0|162.125|0|9.899305555555555|0
0|2020-01-19|0.05125|0|0.0|0|47.083333333333336|0|21.458333333333332|0
0|2020-01-20|0.0|0|0.0|0|64.16666666666667|0|14.0|0
0|2020-01-21|0.0|0|0.0|0|77.5|0|11.166666666666666|0
0|2020-01-22|0.0|0|0.02659722222222222|0|125.65972222222221|0|18.229166666666668|0
0|2020-01-23|0.08333333333333333|0|0.030654761904761907|0|275.4047619047619|0|10.98373015873016|0
0|2020-01-24|0.0|0|0.0|0|221.66666666666666|0|6.041666666666667|0
0|2020-01-25|0.0|0|0.00020833333333333335|0|100.10416666666667|0|10.75|0
0|2020-01-26|0.025916666666666668|0|0.08569212962962963|0|153.60069444444446|0|9.081481481481482|0
0|2020-01-27|0.01|0|0.0|0|80.06944444444444|0|8.013888888888888|0
0|2020-01-28|0.0|0|0.015208333333333332|0|158.88888888888889|0|12.881944444444445|0
0|2020-01-29|0.009583333333333334|0|0.0|0|285.625|0|16.1875|0
0|2020-01-30|0.0|0|0.0|0|48.88888888888889|0|11.409722222222223|0
0|2020-01-31|0.0|0|0.0|0|167.70833333333334|0|9.4375|0
0|2020-02-01|0.0|0|0.0|0|239.58333333333334|0|7.625|0
0|2020-02-02|0.0|0|0.0|0|212.5|0|9.791666666666666|0
0|2020-02-03|0.0|0|0.0|0|166.38888888888889|0|15.666666666666666|0
0|2020-02-04|0.0|0|0.0|0|158.08333333333334|0|11.11875|0
0|2020-02-05|0.0|0|0.0|0|276.73611111111114|0|15.788194444444443|0
0|2020-02-06|0.00125|0|0.0011111111111111111|0|289.72222222222223|0|14.895833333333334|0
0|2020-02-07|0.0|0|0.0|0|185.0|0|9.208333333333334|0
0|2020-02-08|0.0|0|0.0|0|100.83333333333333|0|11.458333333333334|0
0|2020-02-09|0.0|0|0.0|0|129.0972222222222|0|13.215277777777779|0
0|2020-02-10|0.0|0|0.0003333333333333333|0|149.25694444444443|0|11.301388888888889|0
0|2020-02-11|0.0004166666666666667|0|0.000625|0|147.01388888888889|0|13.1875|0
0|2020-02-12|0.000625|0|0.021059027777777777|0|226.8923611111111|0|11.100694444444445|0
