|dates|GoldenValley_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|GoldenValley_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|GoldenValley_Montana_UnitedStates.Male_Total_Population.data|GoldenValley_Montana_UnitedStates.Male_Total_Population.missing|GoldenValley_Montana_UnitedStates.Female_Total_Population.data|GoldenValley_Montana_UnitedStates.Female_Total_Population.missing|GoldenValley_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|GoldenValley_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-02|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-03|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-04|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-05|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-06|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-07|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-08|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-09|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-10|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-11|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-12|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-13|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-14|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-15|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-16|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-17|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-18|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-19|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-20|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-21|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-22|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-23|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-24|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-25|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-26|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-27|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-28|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-29|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-30|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-01-31|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-02-01|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-02-02|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-02-03|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-02-04|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-02-05|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-02-06|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-02-07|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-02-08|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-02-09|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-02-10|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-02-11|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-02-12|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-02-13|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-02-14|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-02-15|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-02-16|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-02-17|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-02-18|224.0|0|413.0|0|413.0|0|175.0|0
0|2020-02-19|224.0|0|413.0|0|413.0|0|175.0|0
