|dates|Grant_Wisconsin_UnitedStates.AverageDailyTemperature.data|Grant_Wisconsin_UnitedStates.AverageDailyTemperature.missing|Grant_Wisconsin_UnitedStates.AverageDewPoint.data|Grant_Wisconsin_UnitedStates.AverageDewPoint.missing|Grant_Wisconsin_UnitedStates.AverageRelativeHumidity.data|Grant_Wisconsin_UnitedStates.AverageRelativeHumidity.missing|Grant_Wisconsin_UnitedStates.AverageSurfaceAirPressure.data|Grant_Wisconsin_UnitedStates.AverageSurfaceAirPressure.missing
0|2020-01-01|28.645833333333332|0|25.322916666666668|0|87.95833333333333|0|28.516770833333343|0
0|2020-01-02|38.1875|0|35.390625|0|89.96875|0|28.459114583333335|0
0|2020-01-03|32.630208333333336|0|30.286458333333332|0|91.34375|0|28.7347916666667|0
0|2020-01-04|27.895833333333332|0|26.458333333333332|0|94.59375|0|28.936770833333355|0
0|2020-01-05|31.65625|0|28.510416666666668|0|88.625|0|28.843124999999976|0
0|2020-01-06|30.21875|0|23.760416666666668|0|77.72916666666667|0|28.995937499999968|0
0|2020-01-07|29.5625|0|23.78125|0|79.67708333333333|0|28.91500000000001|0
0|2020-01-08|15.947916666666666|0|5.59375|0|64.09375|0|29.190625000000008|0
0|2020-01-09|37.84375|0|30.291666666666668|0|74.63541666666667|0|28.78718750000002|0
0|2020-01-10|30.447916666666668|0|29.239583333333332|0|95.53125|0|28.95635416666666|0
0|2020-01-11|23.3125|0|18.4375|0|82.02083333333333|0|28.90979166666669|0
0|2020-01-12|23.145833333333332|0|19.40625|0|85.91666666666667|0|29.09729166666669|0
0|2020-01-13|28.645833333333332|0|27.364583333333332|0|94.9375|0|29.08864583333335|0
0|2020-01-14|30.385416666666668|0|29.364583333333332|0|96.3125|0|28.976041666666692|0
0|2020-01-15|24.427083333333332|0|23.75|0|97.44791666666667|0|29.036562500000002|0
0|2020-01-16|6.03125|0|-0.53125|0|75.36458333333333|0|29.552604166666644|0
0|2020-01-17|18.161458333333332|0|15.354166666666666|0|88.9375|0|29.34723958333332|0
0|2020-01-18|19.072916666666668|0|16.833333333333332|0|91.3125|0|28.767395833333307|0
0|2020-01-19|7.083333333333333|0|3.1302083333333335|0|84.11979166666667|0|29.240052083333314|0
0|2020-01-20|13.458333333333334|0|11.385416666666666|0|91.98958333333333|0|29.471041666666665|0
0|2020-01-21|13.395833333333334|0|11.854166666666666|0|93.85416666666667|0|29.348958333333314|0
0|2020-01-22|26.864583333333332|0|24.572916666666668|0|90.98958333333333|0|28.98161458333333|0
0|2020-01-23|30.708333333333332|0|30.708333333333332|0|100.0|0|28.889583333333373|0
0|2020-01-24|33.041666666666664|0|33.041666666666664|0|100.0|0|28.77406249999997|0
0|2020-01-25|32.739583333333336|0|32.427083333333336|0|98.9375|0|28.77114583333334|0
0|2020-01-26|27.791666666666668|0|27.34375|0|98.375|0|28.82187499999999|0
0|2020-01-27|28.671875|0|27.776041666666668|0|96.71875|0|28.902708333333337|0
0|2020-01-28|25.25|0|24.010416666666668|0|95.10416666666667|0|28.999687500000032|0
0|2020-01-29|25.427083333333332|0|23.739583333333332|0|93.36458333333333|0|29.075833333333332|0
0|2020-01-30|27.572916666666668|0|25.875|0|93.0|0|29.06145833333332|0
0|2020-01-31|30.510416666666668|0|30.458333333333332|0|99.72916666666667|0|28.981979166666658|0
0|2020-02-01|33.572916666666664|0|32.197916666666664|0|94.76041666666667|0|28.744166666666676|0
0|2020-02-02|39.322916666666664|0|33.770833333333336|0|81.19791666666667|0|28.51760416666667|0
0|2020-02-03|33.46875|0|29.9375|0|87.625|0|28.688020833333326|0
0|2020-02-04|26.942708333333332|0|16.635416666666668|0|65.60416666666667|0|28.991770833333337|0
0|2020-02-05|22.182291666666668|0|13.067708333333334|0|68.65625|0|28.960572916666703|0
0|2020-02-06|23.875|0|13.03125|0|64.60416666666667|0|28.617083333333326|0
0|2020-02-07|25.291666666666668|0|16.817708333333332|0|71.10416666666667|0|28.68520833333336|0
0|2020-02-08|22.90625|0|17.916666666666668|0|82.07291666666667|0|28.987552083333355|0
0|2020-02-09|27.1875|0|26.4375|0|97.08333333333333|0|28.906770833333322|0
0|2020-02-10|19.135416666666668|0|17.90625|0|95.34375|0|29.029687500000012|0
0|2020-02-11|20.4375|0|17.59375|0|89.72916666666667|0|29.014895833333327|0
0|2020-02-12|27.010416666666668|0|24.270833333333332|0|89.921875|0|28.819114583333313|0
0|2020-02-13|7.276041666666667|0|0.203125|0|73.70833333333333|0|29.08687500000002|0
0|2020-02-14|-1.0364583333333333|0|-9.317708333333334|0|69.39583333333333|0|29.317604166666666|0
0|2020-02-15|24.135416666666668|0|19.302083333333332|0|82.20833333333333|0|28.92989583333331|0
0|2020-02-16|25.322916666666668|0|20.8125|0|84.79166666666667|0|28.98437499999996|0
0|2020-02-17|30.697916666666668|0|28.598958333333332|0|92.515625|0|28.825520833333304|0
0|2020-02-18|25.364583333333332|0|21.458333333333332|0|85.625|0|29.07927083333333|0
0|2020-02-19|11.427083333333334|0|3.5833333333333335|0|72.609375|0|29.472656249999996|0
0|2020-02-20|5.651041666666667|0|-3.6302083333333335|0|66.97395833333333|0|29.56921875000003|0
0|2020-02-21|19.880208333333332|0|11.354166666666666|0|70.59895833333333|0|29.29807291666665|0
