|dates|Gray_Texas_UnitedStates.AveragePrecipitationTotal.data|Gray_Texas_UnitedStates.AveragePrecipitationTotal.missing|Gray_Texas_UnitedStates.AveragePrecipitation.data|Gray_Texas_UnitedStates.AveragePrecipitation.missing|Gray_Texas_UnitedStates.AverageWindDirection.data|Gray_Texas_UnitedStates.AverageWindDirection.missing|Gray_Texas_UnitedStates.AverageWindSpeed.data|Gray_Texas_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|219.58333333333334|0|14.59375|0
0|2020-01-02|0.0|0|0.0|0|259.4270833333333|0|10.484375|0
0|2020-01-03|0.0|0|0.0|0|291.3541666666667|0|8.96875|0
0|2020-01-04|0.0|0|0.0|0|215.52083333333334|0|10.25|0
0|2020-01-05|0.0|0|0.0|0|149.16666666666666|0|11.760416666666666|0
0|2020-01-06|0.0|0|0.0|0|263.8541666666667|0|11.333333333333334|0
0|2020-01-07|0.0|0|0.0|0|179.89583333333334|0|8.375|0
0|2020-01-08|0.0|0|0.0|0|199.58333333333334|0|20.458333333333332|0
0|2020-01-09|0.0|0|0.0|0|225.41666666666666|0|9.645833333333334|0
0|2020-01-10|0.0|0|0.0|0|238.95833333333334|0|14.5625|0
0|2020-01-11|0.0|0|0.0|0|250.72916666666666|0|14.53125|0
0|2020-01-12|0.0|0|0.0|0|182.08333333333334|0|10.416666666666666|0
0|2020-01-13|0.0|0|0.0|0|212.91666666666666|0|15.770833333333334|0
0|2020-01-14|0.0|0|0.0|0|220.3125|0|13.104166666666666|0
0|2020-01-15|0.0|0|0.0|0|127.08333333333333|0|11.958333333333334|0
0|2020-01-16|0.0|0|0.0|0|77.08333333333333|0|9.822916666666666|0
0|2020-01-17|0.0|0|0.0|0|199.79166666666666|0|15.75|0
0|2020-01-18|0.0|0|0.0|0|193.95833333333334|0|10.489583333333334|0
0|2020-01-19|0.0|0|0.0|0|208.33333333333334|0|8.104166666666666|0
0|2020-01-20|0.0|0|0.0|0|222.39583333333334|0|9.489583333333334|0
0|2020-01-21|0.0|0|0.0|0|159.89583333333334|0|13.072916666666666|0
0|2020-01-22|0.0|0|0.0|0|247.91666666666666|0|11.395833333333334|0
0|2020-01-23|0.0|0|0.0|0|318.4375|0|12.4375|0
0|2020-01-24|0.0|0|0.0|0|246.875|0|9.510416666666666|0
0|2020-01-25|0.0|0|0.0|0|197.91666666666666|0|8.0|0
0|2020-01-26|0.0|0|0.0|0|227.1875|0|6.208333333333333|0
0|2020-01-27|0.0|0|0.0|0|143.75|0|12.78125|0
0|2020-01-28|0.0|0|0.0|0|290.625|0|17.802083333333332|0
0|2020-01-29|0.0|0|0.0|0|183.22916666666666|0|7.34375|0
0|2020-01-30|0.0|0|0.0|0|164.89583333333334|0|6.145833333333333|0
0|2020-01-31|0.0|0|0.0|0|290.8333333333333|0|11.770833333333334|0
0|2020-02-01|0.0|0|0.0|0|253.22916666666666|0|11.447916666666666|0
0|2020-02-02|0.0|0|0.0|0|230.9375|0|10.84375|0
0|2020-02-03|0.0|0|0.0|0|184.27083333333334|0|15.364583333333334|0
0|2020-02-04|0.0|0|0.0|0|243.95833333333334|0|16.78125|0
0|2020-02-05|0.0|0|0.0|0|312.1875|0|11.979166666666666|0
0|2020-02-06|0.0|0|0.0|0|284.8958333333333|0|9.864583333333334|0
0|2020-02-07|0.0|0|0.0|0|308.125|0|9.78125|0
0|2020-02-08|0.0|0|0.0|0|195.20833333333334|0|15.635416666666666|0
0|2020-02-09|0.0|0|0.0|0|214.47916666666666|0|15.625|0
0|2020-02-10|0.0|0|0.0|0|46.770833333333336|0|5.71875|0
0|2020-02-11|0.0|0|0.0|0|130.41666666666666|0|8.291666666666666|0
0|2020-02-12|0.0|0|0.0|0|187.70833333333334|0|10.083333333333334|0
0|2020-02-13|0.0|0|0.0|0|63.541666666666664|0|9.46875|0
0|2020-02-14|0.0|0|0.0|0|172.60416666666666|0|17.677083333333332|0
0|2020-02-15|0.0|0|0.0|0|183.125|0|15.583333333333334|0
0|2020-02-16|0.0|0|0.0|0|144.375|0|7.34375|0
0|2020-02-17|0.0|0|0.0|0|169.58333333333334|0|11.270833333333334|0
0|2020-02-18|0.0|0|0.0|0|41.979166666666664|0|12.479166666666666|0
0|2020-02-19|0.0|0|0.0|0|120.20833333333333|0|11.479166666666666|0
0|2020-02-20|0.0|0|0.0|0|140.10416666666666|0|12.666666666666666|0
0|2020-02-21|0.0|0|0.0|0|193.54166666666666|0|14.15625|0
0|2020-02-22|0.0|0|0.0|0|192.1875|0|13.916666666666666|0
0|2020-02-23|0.0|0|0.0|0|217.91666666666666|0|15.427083333333334|0
0|2020-02-24|0.0|0|0.0|0|270.2083333333333|0|18.4375|0
0|2020-02-25|0.0|0|0.0|0|330.4166666666667|0|21.635416666666668|0
0|2020-02-26|0.0|0|0.0|0|271.9791666666667|0|12.78125|0
0|2020-02-27|0.0|0|0.0|0|203.95833333333334|0|11.947916666666666|0
0|2020-02-28|0.0|0|0.0|0|210.0|0|7.59375|0
0|2020-02-29|0.0|0|0.0|0|186.5625|0|15.614583333333334|0
0|2020-03-01|0.0|0|0.0|0|210.9375|0|10.458333333333334|0
0|2020-03-02|0.0|0|0.0|0|156.5625|0|9.479166666666666|0
0|2020-03-03|0.0|0|0.0|0|175.72916666666666|0|8.3125|0
0|2020-03-04|0.0|0|0.0|0|125.0|0|9.197916666666666|0
0|2020-03-05|0.0|0|0.0|0|114.89583333333333|0|13.552083333333334|0
0|2020-03-06|0.0|0|0.0|0|180.20833333333334|0|13.895833333333334|0
0|2020-03-07|0.0|0|0.0|0|177.29166666666666|0|20.260416666666668|0
0|2020-03-08|0.0|0|0.0|0|168.64583333333334|0|17.541666666666668|0
0|2020-03-09|0.0|0|0.0|0|240.9375|0|14.447916666666666|0
0|2020-03-10|0.0|0|0.0|0|179.27083333333334|0|16.010416666666668|0
