|dates|Green_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Green_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Green_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Green_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Green_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Green_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Green_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Green_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-02|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-03|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-04|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-05|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-06|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-07|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-08|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-09|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-10|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-11|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-12|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-13|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-14|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-15|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-16|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-17|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-18|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-19|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-20|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-21|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-22|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-23|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-24|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-25|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-26|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-27|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-28|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-29|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-30|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-01-31|4963.0|0|220.0|0|4.244645957939417|0|5183.0|0
0|2020-02-01|4976.5|0|213.0|0|4.1044416610463434|0|5189.5|0
0|2020-02-02|4976.5|0|213.0|0|4.1044416610463434|0|5189.5|0
0|2020-02-03|4976.5|0|213.0|0|4.1044416610463434|0|5189.5|0
0|2020-02-04|4976.5|0|213.0|0|4.1044416610463434|0|5189.5|0
0|2020-02-05|4976.5|0|213.0|0|4.1044416610463434|0|5189.5|0
0|2020-02-06|4976.5|0|213.0|0|4.1044416610463434|0|5189.5|0
0|2020-02-07|4976.5|0|213.0|0|4.1044416610463434|0|5189.5|0
0|2020-02-08|4976.5|0|213.0|0|4.1044416610463434|0|5189.5|0
0|2020-02-09|4976.5|0|213.0|0|4.1044416610463434|0|5189.5|0
0|2020-02-10|4976.5|0|213.0|0|4.1044416610463434|0|5189.5|0
0|2020-02-11|4976.5|0|213.0|0|4.1044416610463434|0|5189.5|0
