|dates|Grimes_Texas_UnitedStates.BLS_EmployedPopulation.data|Grimes_Texas_UnitedStates.BLS_EmployedPopulation.missing|Grimes_Texas_UnitedStates.BLS_UnemployedPopulation.data|Grimes_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Grimes_Texas_UnitedStates.BLS_UnemploymentRate.data|Grimes_Texas_UnitedStates.BLS_UnemploymentRate.missing|Grimes_Texas_UnitedStates.BLS_LaborForcePopulation.data|Grimes_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-02|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-03|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-04|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-05|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-06|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-07|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-08|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-09|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-10|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-11|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-12|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-13|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-14|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-15|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-16|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-17|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-18|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-19|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-20|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-21|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-22|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-23|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-24|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-25|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-26|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-27|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-28|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-29|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-30|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-01-31|10670.0|0|508.5|0|4.548910855660419|0|11178.5|0
0|2020-02-01|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-02|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-03|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-04|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-05|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-06|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-07|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-08|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-09|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-10|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-11|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-12|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-13|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-14|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-15|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-16|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-17|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-18|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-19|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-20|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-21|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-22|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-23|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-24|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-25|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-26|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-27|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-28|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-02-29|10873.0|0|469.0|0|4.1350731793334505|0|11342.0|0
0|2020-03-01|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-02|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-03|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-04|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-05|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-06|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-07|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-08|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-09|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-10|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-11|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-12|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-13|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-14|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-15|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-16|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-17|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-18|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-19|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-20|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-21|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-22|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-23|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-24|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-25|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-26|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-27|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-28|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-29|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-30|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-03-31|10550.0|0|715.0|0|6.347092765201953|0|11265.0|0
0|2020-04-01|9243.0|0|1104.5|0|10.674075863735201|0|10347.5|0
0|2020-04-02|9243.0|0|1104.5|0|10.674075863735201|0|10347.5|0
0|2020-04-03|9243.0|0|1104.5|0|10.674075863735201|0|10347.5|0
0|2020-04-04|9243.0|0|1104.5|0|10.674075863735201|0|10347.5|0
