|dates|Hand_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hand_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hand_SouthDakota_UnitedStates.Male_Total_Population.data|Hand_SouthDakota_UnitedStates.Male_Total_Population.missing|Hand_SouthDakota_UnitedStates.Female_Total_Population.data|Hand_SouthDakota_UnitedStates.Female_Total_Population.missing|Hand_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Hand_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-02|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-03|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-04|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-05|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-06|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-07|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-08|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-09|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-10|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-11|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-12|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-13|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-14|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-15|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-16|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-17|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-18|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-19|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-20|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-21|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-22|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-23|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-24|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-25|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-26|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-27|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-28|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-29|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-01-30|826.0|0|1627.0|0|1635.0|0|715.0|0
