|dates|Hart_Georgia_UnitedStates.BLS_EmployedPopulation.data|Hart_Georgia_UnitedStates.BLS_EmployedPopulation.missing|Hart_Georgia_UnitedStates.BLS_UnemployedPopulation.data|Hart_Georgia_UnitedStates.BLS_UnemployedPopulation.missing|Hart_Georgia_UnitedStates.BLS_UnemploymentRate.data|Hart_Georgia_UnitedStates.BLS_UnemploymentRate.missing|Hart_Georgia_UnitedStates.BLS_LaborForcePopulation.data|Hart_Georgia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-02|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-03|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-04|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-05|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-06|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-07|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-08|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-09|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-10|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-11|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-12|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-13|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-14|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-15|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-16|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-17|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-18|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-19|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-20|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-21|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-22|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-23|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-24|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-25|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-26|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-27|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-28|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-29|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-30|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-01-31|10980.5|0|468.5|0|4.092060441959997|0|11449.0|0
0|2020-02-01|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-02|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-03|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-04|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-05|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-06|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-07|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-08|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-09|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-10|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-11|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-12|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-13|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-14|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-15|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-16|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-17|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-18|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-19|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-20|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-21|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-22|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-23|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-24|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-25|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-26|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-27|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-28|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-02-29|10961.0|0|474.0|0|4.145168342807171|0|11435.0|0
0|2020-03-01|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-02|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-03|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-04|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-05|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-06|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-07|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-08|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-09|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-10|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-11|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-12|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-13|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-14|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-15|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-16|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-17|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-18|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-19|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-20|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-21|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-22|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-23|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-24|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-25|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-26|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-27|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-28|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-29|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-30|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-03-31|10875.5|0|526.0|0|4.613428057711705|0|11401.5|0
0|2020-04-01|9974.0|0|1117.0|0|10.071228924353079|0|11091.0|0
0|2020-04-02|9974.0|0|1117.0|0|10.071228924353079|0|11091.0|0
0|2020-04-03|9974.0|0|1117.0|0|10.071228924353079|0|11091.0|0
0|2020-04-04|9974.0|0|1117.0|0|10.071228924353079|0|11091.0|0
0|2020-04-05|9974.0|0|1117.0|0|10.071228924353079|0|11091.0|0
0|2020-04-06|9974.0|0|1117.0|0|10.071228924353079|0|11091.0|0
0|2020-04-07|9974.0|0|1117.0|0|10.071228924353079|0|11091.0|0
0|2020-04-08|9974.0|0|1117.0|0|10.071228924353079|0|11091.0|0
0|2020-04-09|9974.0|0|1117.0|0|10.071228924353079|0|11091.0|0
0|2020-04-10|9974.0|0|1117.0|0|10.071228924353079|0|11091.0|0
0|2020-04-11|9974.0|0|1117.0|0|10.071228924353079|0|11091.0|0
0|2020-04-12|9974.0|0|1117.0|0|10.071228924353079|0|11091.0|0
