|dates|Haywood_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Haywood_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Haywood_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Haywood_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Haywood_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Haywood_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Haywood_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Haywood_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-02|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-03|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-04|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-05|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-06|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-07|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-08|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-09|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-10|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-11|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-12|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-13|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-14|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-15|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-16|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-17|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-18|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-19|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-20|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-21|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-22|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-23|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-24|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-25|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-26|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-27|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-28|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-29|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-30|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-01-31|28999.5|0|1078.0|0|3.5840744742747903|0|30077.5|0
0|2020-02-01|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-02|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-03|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-04|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-05|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-06|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-07|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-08|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-09|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-10|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-11|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-12|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-13|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-14|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-15|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-16|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-17|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-18|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-19|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-20|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-21|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-22|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-23|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-24|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-25|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-26|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-27|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-28|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-02-29|29289.5|0|1005.0|0|3.317433857630923|0|30294.5|0
0|2020-03-01|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-02|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-03|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-04|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-05|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-06|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-07|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-08|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-09|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-10|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-11|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-12|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-13|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-14|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-15|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-16|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-17|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-18|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-19|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-20|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-21|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-22|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-23|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-24|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-25|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-26|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-27|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-28|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-29|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-30|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-03-31|27975.5|0|1100.0|0|3.783253942322574|0|29075.5|0
0|2020-04-01|22742.5|0|4021.0|0|15.024193397724513|0|26763.5|0
0|2020-04-02|22742.5|0|4021.0|0|15.024193397724513|0|26763.5|0
0|2020-04-03|22742.5|0|4021.0|0|15.024193397724513|0|26763.5|0
0|2020-04-04|22742.5|0|4021.0|0|15.024193397724513|0|26763.5|0
