|dates|Henderson_Illinois_UnitedStates.BLS_EmployedPopulation.data|Henderson_Illinois_UnitedStates.BLS_EmployedPopulation.missing|Henderson_Illinois_UnitedStates.BLS_UnemployedPopulation.data|Henderson_Illinois_UnitedStates.BLS_UnemployedPopulation.missing|Henderson_Illinois_UnitedStates.BLS_UnemploymentRate.data|Henderson_Illinois_UnitedStates.BLS_UnemploymentRate.missing|Henderson_Illinois_UnitedStates.BLS_LaborForcePopulation.data|Henderson_Illinois_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-02|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-03|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-04|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-05|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-06|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-07|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-08|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-09|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-10|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-11|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-12|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-13|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-14|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-15|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-16|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-17|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-18|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-19|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-20|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-21|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-22|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-23|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-24|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-25|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-26|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-27|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-28|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-29|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-30|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-01-31|3297.0|0|166.5|0|4.807275877003032|0|3463.5|0
0|2020-02-01|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-02|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-03|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-04|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-05|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-06|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-07|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-08|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-09|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-10|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-11|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-12|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-13|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-14|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-15|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-16|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-17|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-18|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-19|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-20|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-21|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-22|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-23|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-24|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-25|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-26|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-27|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-28|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-02-29|3277.0|0|163.5|0|4.752216247638424|0|3440.5|0
0|2020-03-01|3261.5|0|149.0|0|4.368860870840053|0|3410.5|0
0|2020-03-02|3261.5|0|149.0|0|4.368860870840053|0|3410.5|0
0|2020-03-03|3261.5|0|149.0|0|4.368860870840053|0|3410.5|0
0|2020-03-04|3261.5|0|149.0|0|4.368860870840053|0|3410.5|0
0|2020-03-05|3261.5|0|149.0|0|4.368860870840053|0|3410.5|0
0|2020-03-06|3261.5|0|149.0|0|4.368860870840053|0|3410.5|0
0|2020-03-07|3261.5|0|149.0|0|4.368860870840053|0|3410.5|0
0|2020-03-08|3261.5|0|149.0|0|4.368860870840053|0|3410.5|0
0|2020-03-09|3261.5|0|149.0|0|4.368860870840053|0|3410.5|0
0|2020-03-10|3261.5|0|149.0|0|4.368860870840053|0|3410.5|0
0|2020-03-11|3261.5|0|149.0|0|4.368860870840053|0|3410.5|0
0|2020-03-12|3261.5|0|149.0|0|4.368860870840053|0|3410.5|0
0|2020-03-13|3261.5|0|149.0|0|4.368860870840053|0|3410.5|0
