|dates|Highland_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Highland_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Highland_Virginia_UnitedStates.Male_Total_Population.data|Highland_Virginia_UnitedStates.Male_Total_Population.missing|Highland_Virginia_UnitedStates.Female_Total_Population.data|Highland_Virginia_UnitedStates.Female_Total_Population.missing|Highland_Virginia_UnitedStates.MaleAndFemale_Under18_Population.data|Highland_Virginia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-02|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-03|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-04|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-05|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-06|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-07|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-08|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-09|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-10|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-11|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-12|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-13|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-14|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-15|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-16|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-17|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-18|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-19|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-20|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-21|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-22|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-23|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-24|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-25|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-26|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-27|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-28|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-29|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-30|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-01-31|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-02-01|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-02-02|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-02-03|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-02-04|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-02-05|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-02-06|760.0|0|1100.0|0|1110.0|0|290.0|0
