|dates|Hodgeman_Kansas_UnitedStates.BLS_EmployedPopulation.data|Hodgeman_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Hodgeman_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Hodgeman_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Hodgeman_Kansas_UnitedStates.BLS_UnemploymentRate.data|Hodgeman_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Hodgeman_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Hodgeman_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
0|2020-01-02|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
0|2020-01-03|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
0|2020-01-04|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
0|2020-01-05|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
0|2020-01-06|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
0|2020-01-07|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
0|2020-01-08|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
0|2020-01-09|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
0|2020-01-10|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
0|2020-01-11|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
0|2020-01-12|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
0|2020-01-13|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
0|2020-01-14|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
0|2020-01-15|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
0|2020-01-16|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
0|2020-01-17|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
0|2020-01-18|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
0|2020-01-19|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
0|2020-01-20|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
0|2020-01-21|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
0|2020-01-22|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
0|2020-01-23|947.5|0|31.5|0|3.2175689479060265|0|979.0|0
