|dates|Jackson_Colorado_UnitedStates.BLS_EmployedPopulation.data|Jackson_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Jackson_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Jackson_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Jackson_Colorado_UnitedStates.BLS_UnemploymentRate.data|Jackson_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Jackson_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Jackson_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-02|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-03|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-04|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-05|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-06|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-07|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-08|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-09|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-10|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-11|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-12|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-13|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-14|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-15|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-16|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-17|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-18|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-19|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-20|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-21|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-22|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-23|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-24|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-25|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-26|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-27|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-28|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-29|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-30|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-01-31|882.0|0|24.0|0|2.6490066225165565|0|906.0|0
0|2020-02-01|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-02|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-03|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-04|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-05|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-06|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-07|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-08|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-09|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-10|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-11|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-12|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-13|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-14|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-15|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-16|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-17|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-18|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-19|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-20|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-21|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-22|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-23|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-24|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-25|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-26|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-27|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-28|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-02-29|915.5|0|30.5|0|3.2241014799154333|0|946.0|0
0|2020-03-01|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-02|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-03|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-04|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-05|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-06|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-07|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-08|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-09|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-10|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-11|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-12|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-13|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-14|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-15|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-16|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-17|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-18|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-19|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-20|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-21|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-22|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-23|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-24|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-25|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-26|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-27|813.5|0|52.0|0|6.008087810514153|0|865.5|0
