|dates|Jefferson_Wisconsin_UnitedStates.BLS_EmployedPopulation.data|Jefferson_Wisconsin_UnitedStates.BLS_EmployedPopulation.missing|Jefferson_Wisconsin_UnitedStates.BLS_UnemployedPopulation.data|Jefferson_Wisconsin_UnitedStates.BLS_UnemployedPopulation.missing|Jefferson_Wisconsin_UnitedStates.BLS_UnemploymentRate.data|Jefferson_Wisconsin_UnitedStates.BLS_UnemploymentRate.missing|Jefferson_Wisconsin_UnitedStates.BLS_LaborForcePopulation.data|Jefferson_Wisconsin_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-02|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-03|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-04|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-05|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-06|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-07|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-08|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-09|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-10|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-11|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-12|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-13|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-14|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-15|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-16|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-17|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-18|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-19|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-20|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-21|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-22|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-23|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-24|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-25|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-26|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-27|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-28|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-29|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-30|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-01-31|43816.5|0|1716.0|0|3.7687366167023555|0|45532.5|0
0|2020-02-01|43868.0|0|1729.0|0|3.791916134833432|0|45597.0|0
0|2020-02-02|43868.0|0|1729.0|0|3.791916134833432|0|45597.0|0
0|2020-02-03|43868.0|0|1729.0|0|3.791916134833432|0|45597.0|0
0|2020-02-04|43868.0|0|1729.0|0|3.791916134833432|0|45597.0|0
0|2020-02-05|43868.0|0|1729.0|0|3.791916134833432|0|45597.0|0
0|2020-02-06|43868.0|0|1729.0|0|3.791916134833432|0|45597.0|0
0|2020-02-07|43868.0|0|1729.0|0|3.791916134833432|0|45597.0|0
0|2020-02-08|43868.0|0|1729.0|0|3.791916134833432|0|45597.0|0
0|2020-02-09|43868.0|0|1729.0|0|3.791916134833432|0|45597.0|0
