|dates|Johnson_Nebraska_UnitedStates.BLS_EmployedPopulation.data|Johnson_Nebraska_UnitedStates.BLS_EmployedPopulation.missing|Johnson_Nebraska_UnitedStates.BLS_UnemployedPopulation.data|Johnson_Nebraska_UnitedStates.BLS_UnemployedPopulation.missing|Johnson_Nebraska_UnitedStates.BLS_UnemploymentRate.data|Johnson_Nebraska_UnitedStates.BLS_UnemploymentRate.missing|Johnson_Nebraska_UnitedStates.BLS_LaborForcePopulation.data|Johnson_Nebraska_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-02|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-03|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-04|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-05|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-06|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-07|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-08|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-09|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-10|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-11|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-12|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-13|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-14|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-15|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-16|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-17|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-18|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-19|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-20|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-21|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-22|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-23|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-24|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-25|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-26|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-27|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-28|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-29|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-30|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-01-31|1991.0|0|77.0|0|3.723404255319149|0|2068.0|0
0|2020-02-01|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-02|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-03|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-04|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-05|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-06|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-07|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-08|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-09|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-10|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-11|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-12|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-13|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-14|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-15|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-16|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-17|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-18|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-19|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-20|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-21|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-22|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-23|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-24|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-25|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-26|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-27|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-28|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-02-29|2003.0|0|81.5|0|3.9098105061165747|0|2084.5|0
0|2020-03-01|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-02|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-03|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-04|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-05|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-06|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-07|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-08|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-09|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-10|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-11|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-12|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-13|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-14|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-15|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-16|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-17|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-18|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-19|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-20|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-21|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-22|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-23|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-24|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-25|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-26|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-27|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-28|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-29|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-30|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-03-31|2010.0|0|91.5|0|4.354032833690221|0|2101.5|0
0|2020-04-01|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-02|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-03|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-04|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-05|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-06|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-07|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-08|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-09|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-10|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-11|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-12|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-13|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-14|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-15|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-16|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-17|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-18|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-19|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-20|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-21|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-22|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-23|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-24|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-25|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-26|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-27|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-28|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-29|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-04-30|2003.5|0|130.5|0|6.115276476101219|0|2134.0|0
0|2020-05-01|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-02|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-03|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-04|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-05|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-06|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-07|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-08|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-09|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-10|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-11|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-12|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-13|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-14|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-15|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-16|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-17|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-18|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-19|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-20|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-21|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-22|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-23|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-24|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-25|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-26|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-27|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-28|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-29|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-30|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-05-31|1983.0|0|88.0|0|4.249154997585707|0|2071.0|0
0|2020-06-01|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-02|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-03|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-04|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-05|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-06|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-07|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-08|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-09|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-10|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-11|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-12|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-13|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-14|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-15|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-16|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-17|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-18|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-19|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-20|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-21|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-22|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-23|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-24|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-25|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-26|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-27|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-28|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-29|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-06-30|1997.0|0|104.0|0|4.950023798191338|0|2101.0|0
0|2020-07-01|1987.0|0|82.0|0|3.9632672788786856|0|2069.0|0
