|dates|Kings_California_UnitedStates.BLS_EmployedPopulation.data|Kings_California_UnitedStates.BLS_EmployedPopulation.missing|Kings_California_UnitedStates.BLS_UnemployedPopulation.data|Kings_California_UnitedStates.BLS_UnemployedPopulation.missing|Kings_California_UnitedStates.BLS_UnemploymentRate.data|Kings_California_UnitedStates.BLS_UnemploymentRate.missing|Kings_California_UnitedStates.BLS_LaborForcePopulation.data|Kings_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-02|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-03|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-04|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-05|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-06|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-07|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-08|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-09|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-10|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-11|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-12|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-13|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-14|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-15|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-16|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-17|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-18|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-19|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-20|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-21|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-22|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-23|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-24|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-25|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-26|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-27|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-28|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-29|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-30|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-01-31|52384.5|0|5513.0|0|9.522000086359515|0|57897.5|0
0|2020-02-01|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-02|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-03|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-04|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-05|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-06|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-07|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-08|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-09|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-10|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-11|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-12|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-13|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-14|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-15|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-16|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-17|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-18|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-19|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-20|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-21|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-22|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-23|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-24|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-25|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-26|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-27|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-28|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-02-29|52573.5|0|5705.0|0|9.789201849738754|0|58278.5|0
0|2020-03-01|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-02|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-03|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-04|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-05|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-06|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-07|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-08|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-09|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-10|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-11|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-12|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-13|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-14|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-15|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-16|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-17|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-18|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-19|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-20|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-21|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-22|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-23|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-24|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-25|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-26|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-27|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-28|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-29|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-30|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-03-31|51723.5|0|6958.5|0|11.857980300603252|0|58682.0|0
0|2020-04-01|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-02|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-03|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-04|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-05|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-06|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-07|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-08|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-09|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-10|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-11|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-12|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-13|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-14|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-15|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-16|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-17|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-18|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-19|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-20|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-21|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-22|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-23|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-24|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-25|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-26|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-27|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-28|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-29|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-04-30|47974.5|0|9734.0|0|16.86753251254148|0|57708.5|0
0|2020-05-01|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-02|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-03|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-04|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-05|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-06|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-07|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-08|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-09|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-10|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-11|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-12|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-13|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-14|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-15|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-16|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-17|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-18|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-19|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-20|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-21|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-22|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-23|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-24|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-25|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-26|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-27|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-28|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-29|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-30|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-05-31|49057.0|0|8583.0|0|14.890700902151284|0|57640.0|0
0|2020-06-01|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-02|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-03|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-04|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-05|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-06|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-07|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-08|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-09|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-10|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-11|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-12|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-13|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-14|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-15|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-16|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-17|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-18|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-19|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-20|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-21|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-22|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-23|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-24|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-25|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-26|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-27|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-28|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-29|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-06-30|48896.0|0|7505.0|0|13.306501657772026|0|56401.0|0
0|2020-07-01|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-02|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-03|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-04|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-05|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-06|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-07|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-08|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-09|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-10|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-11|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-12|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-13|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-14|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-15|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-16|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-17|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-18|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-19|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-20|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-21|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-22|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-23|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-24|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-25|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-26|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-27|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-28|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-29|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-30|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-07-31|49442.0|0|6977.0|0|12.366401389602794|0|56419.0|0
0|2020-08-01|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-02|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-03|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-04|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-05|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-06|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-07|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-08|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-09|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-10|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-11|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-12|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-13|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-14|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-15|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-16|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-17|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-18|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-19|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-20|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-21|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-22|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-23|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-24|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-25|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-26|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-27|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-28|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-29|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-30|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-08-31|49354.0|0|6112.0|0|11.019363213500162|0|55466.0|0
0|2020-09-01|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-02|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-03|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-04|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-05|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-06|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-07|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-08|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-09|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-10|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-11|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-12|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-13|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-14|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-15|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-16|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-17|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-18|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-19|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-20|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-21|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-22|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-23|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-24|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-25|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-26|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-27|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-28|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-29|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-09-30|49097.0|0|5672.0|0|10.356223411053698|0|54769.0|0
0|2020-10-01|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-02|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-03|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-04|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-05|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-06|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-07|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-08|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-09|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-10|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-11|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-12|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-13|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-14|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-15|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-16|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-17|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-18|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-19|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-20|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-21|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-22|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-23|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-24|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-25|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-26|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-27|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-28|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-29|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-30|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-10-31|50053.0|0|5409.0|0|9.752623417835634|0|55462.0|0
0|2020-11-01|49532.0|0|4779.0|0|8.799322420872382|0|54311.0|0
0|2020-11-02|49532.0|0|4779.0|0|8.799322420872382|0|54311.0|0
