|dates|LaGrange_Indiana_UnitedStates.BLS_EmployedPopulation.data|LaGrange_Indiana_UnitedStates.BLS_EmployedPopulation.missing|LaGrange_Indiana_UnitedStates.BLS_UnemployedPopulation.data|LaGrange_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|LaGrange_Indiana_UnitedStates.BLS_UnemploymentRate.data|LaGrange_Indiana_UnitedStates.BLS_UnemploymentRate.missing|LaGrange_Indiana_UnitedStates.BLS_LaborForcePopulation.data|LaGrange_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-02|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-03|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-04|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-05|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-06|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-07|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-08|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-09|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-10|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-11|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-12|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-13|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-14|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-15|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-16|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-17|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-18|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-19|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-20|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-21|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-22|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-23|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-24|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-25|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-26|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-27|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-28|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-29|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-30|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-01-31|18987.0|0|532.5|0|2.7280411895796512|0|19519.5|0
0|2020-02-01|18987.0|0|483.0|0|2.4807395993836674|0|19470.0|0
0|2020-02-02|18987.0|0|483.0|0|2.4807395993836674|0|19470.0|0
0|2020-02-03|18987.0|0|483.0|0|2.4807395993836674|0|19470.0|0
0|2020-02-04|18987.0|0|483.0|0|2.4807395993836674|0|19470.0|0
0|2020-02-05|18987.0|0|483.0|0|2.4807395993836674|0|19470.0|0
0|2020-02-06|18987.0|0|483.0|0|2.4807395993836674|0|19470.0|0
0|2020-02-07|18987.0|0|483.0|0|2.4807395993836674|0|19470.0|0
0|2020-02-08|18987.0|0|483.0|0|2.4807395993836674|0|19470.0|0
0|2020-02-09|18987.0|0|483.0|0|2.4807395993836674|0|19470.0|0
0|2020-02-10|18987.0|0|483.0|0|2.4807395993836674|0|19470.0|0
0|2020-02-11|18987.0|0|483.0|0|2.4807395993836674|0|19470.0|0
0|2020-02-12|18987.0|0|483.0|0|2.4807395993836674|0|19470.0|0
0|2020-02-13|18987.0|0|483.0|0|2.4807395993836674|0|19470.0|0
0|2020-02-14|18987.0|0|483.0|0|2.4807395993836674|0|19470.0|0
0|2020-02-15|18987.0|0|483.0|0|2.4807395993836674|0|19470.0|0
0|2020-02-16|18987.0|0|483.0|0|2.4807395993836674|0|19470.0|0
0|2020-02-17|18987.0|0|483.0|0|2.4807395993836674|0|19470.0|0
0|2020-02-18|18987.0|0|483.0|0|2.4807395993836674|0|19470.0|0
