|dates|Labette_Kansas_UnitedStates.BLS_EmployedPopulation.data|Labette_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Labette_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Labette_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Labette_Kansas_UnitedStates.BLS_UnemploymentRate.data|Labette_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Labette_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Labette_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-02|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-03|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-04|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-05|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-06|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-07|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-08|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-09|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-10|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-11|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-12|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-13|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-14|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-15|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-16|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-17|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-18|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-19|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-20|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-21|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-22|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-23|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-24|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-25|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-26|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-27|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-28|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-29|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-30|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-01-31|9359.5|0|386.0|0|3.960802421630496|0|9745.5|0
0|2020-02-01|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-02|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-03|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-04|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-05|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-06|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-07|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-08|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-09|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-10|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-11|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-12|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-13|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-14|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-15|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-16|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-17|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-18|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-19|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-20|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-21|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-22|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-23|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-24|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-25|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-26|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-27|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-28|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
0|2020-02-29|9418.0|0|407.0|0|4.142493638676845|0|9825.0|0
