|dates|Lincoln_Georgia_UnitedStates.AverageDailyTemperature.data|Lincoln_Georgia_UnitedStates.AverageDailyTemperature.missing|Lincoln_Georgia_UnitedStates.AverageDewPoint.data|Lincoln_Georgia_UnitedStates.AverageDewPoint.missing|Lincoln_Georgia_UnitedStates.AverageRelativeHumidity.data|Lincoln_Georgia_UnitedStates.AverageRelativeHumidity.missing|Lincoln_Georgia_UnitedStates.AverageSurfaceAirPressure.data|Lincoln_Georgia_UnitedStates.AverageSurfaceAirPressure.missing
0|2020-01-01|44.854166666666664|0|28.145833333333332|0|55.020833333333336|0|29.325468749999985|0
0|2020-01-02|45.458333333333336|0|39.302083333333336|0|79.40625|0|29.319479166666678|0
0|2020-01-03|55.354166666666664|0|54.78125|0|98.11458333333333|0|29.196875000000023|0
0|2020-01-04|54.177083333333336|0|47.302083333333336|0|80.31770833333333|0|29.238802083333365|0
0|2020-01-05|41.697916666666664|0|29.270833333333332|0|64.39583333333333|0|29.53453125000002|0
0|2020-01-06|48.770833333333336|0|35.322916666666664|0|61.473958333333336|0|29.44651041666667|0
0|2020-01-07|49.973958333333336|0|37.020833333333336|0|64.953125|0|29.38526041666665|0
0|2020-01-08|46.348958333333336|0|28.15625|0|53.223958333333336|0|29.662760416666654|0
0|2020-01-09|45.807291666666664|0|33.802083333333336|0|66.51041666666667|0|29.82046875000003|0
0|2020-01-10|55.604166666666664|0|47.5|0|74.86458333333333|0|29.727708333333325|0
0|2020-01-11|65.97916666666667|0|62.697916666666664|0|89.5|0|29.462812499999995|0
0|2020-01-12|60.489583333333336|0|55.416666666666664|0|84.77083333333333|0|29.54656249999999|0
0|2020-01-13|62.3125|0|61.583333333333336|0|97.125|0|29.6328125|0
0|2020-01-14|61.645833333333336|0|61.1875|0|98.625|0|29.544479166666623|0
0|2020-01-15|62.291666666666664|0|59.625|0|91.4375|0|29.493333333333297|0
0|2020-01-16|63.890625|0|49.588541666666664|0|65.953125|0|29.556250000000006|0
0|2020-01-17|48.505208333333336|0|25.546875|0|41.96875|0|29.81567708333331|0
0|2020-01-18|48.104166666666664|0|29.161458333333332|0|49.692708333333336|0|29.75046874999997|0
0|2020-01-19|49.057291666666664|0|37.479166666666664|0|70.92708333333333|0|29.338229166666693|0
0|2020-01-20|41.427083333333336|0|22.541666666666668|0|48.875|0|29.515885416666666|0
0|2020-01-21|32.895833333333336|0|17.8125|0|54.739583333333336|0|29.687708333333358|0
0|2020-01-22|35.244791666666664|0|16.541666666666668|0|48.994791666666664|0|29.653177083333333|0
0|2020-01-23|40.604166666666664|0|26.385416666666668|0|58.458333333333336|0|29.539999999999996|0
0|2020-01-24|46.447916666666664|0|45.645833333333336|0|97.34375|0|29.309270833333343|0
0|2020-01-25|43.364583333333336|0|35.541666666666664|0|75.20833333333333|0|29.327916666666642|0
0|2020-01-26|44.072916666666664|0|32.208333333333336|0|65.52083333333333|0|29.3441666666667|0
0|2020-01-27|48.020833333333336|0|40.010416666666664|0|74.30729166666667|0|29.243645833333332|0
0|2020-01-28|46.895833333333336|0|35.052083333333336|0|66.59375|0|29.293281250000007|0
