|dates|Logan_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Logan_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Logan_NorthDakota_UnitedStates.Male_Total_Population.data|Logan_NorthDakota_UnitedStates.Male_Total_Population.missing|Logan_NorthDakota_UnitedStates.Female_Total_Population.data|Logan_NorthDakota_UnitedStates.Female_Total_Population.missing|Logan_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Logan_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-02|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-03|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-04|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-05|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-06|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-07|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-08|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-09|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-10|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-11|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-12|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-13|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-14|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-15|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-16|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-17|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-18|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-19|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-20|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-21|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-22|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-23|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-24|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-25|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-26|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-27|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-28|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-29|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-30|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-01-31|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-01|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-02|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-03|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-04|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-05|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-06|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-07|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-08|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-09|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-10|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-11|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-12|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-13|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-14|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-15|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-16|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-17|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-18|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-19|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-20|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-21|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-22|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-23|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-24|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-02-25|494.0|0|983.0|0|920.0|0|438.0|0
