|dates|Madison_Louisiana_UnitedStates.BLS_EmployedPopulation.data|Madison_Louisiana_UnitedStates.BLS_EmployedPopulation.missing|Madison_Louisiana_UnitedStates.BLS_UnemployedPopulation.data|Madison_Louisiana_UnitedStates.BLS_UnemployedPopulation.missing|Madison_Louisiana_UnitedStates.BLS_UnemploymentRate.data|Madison_Louisiana_UnitedStates.BLS_UnemploymentRate.missing|Madison_Louisiana_UnitedStates.BLS_LaborForcePopulation.data|Madison_Louisiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-02|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-03|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-04|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-05|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-06|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-07|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-08|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-09|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-10|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-11|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-12|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-13|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-14|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-15|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-16|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-17|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-18|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-19|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-20|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-21|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-22|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-23|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-24|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-25|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-26|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-27|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-28|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-29|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-30|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-01-31|3185.5|0|318.0|0|9.07663764806622|0|3503.5|0
0|2020-02-01|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-02|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-03|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-04|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-05|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-06|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-07|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-08|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-09|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-10|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-11|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-12|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-13|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-14|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-15|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-16|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-17|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-18|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-19|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-20|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-21|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-22|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-23|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-24|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-25|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-26|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-27|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-28|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-02-29|3265.0|0|250.0|0|7.112375533428165|0|3515.0|0
0|2020-03-01|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-02|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-03|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-04|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-05|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-06|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-07|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-08|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-09|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-10|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-11|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-12|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-13|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-14|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-15|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-16|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-17|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-18|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-19|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-20|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-21|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-22|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-23|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-24|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-25|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-26|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-27|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-28|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-29|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-30|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-03-31|3297.0|0|336.0|0|9.248554913294798|0|3633.0|0
0|2020-04-01|2953.0|0|348.0|0|10.542259921235988|0|3301.0|0
0|2020-04-02|2953.0|0|348.0|0|10.542259921235988|0|3301.0|0
0|2020-04-03|2953.0|0|348.0|0|10.542259921235988|0|3301.0|0
0|2020-04-04|2953.0|0|348.0|0|10.542259921235988|0|3301.0|0
0|2020-04-05|2953.0|0|348.0|0|10.542259921235988|0|3301.0|0
0|2020-04-06|2953.0|0|348.0|0|10.542259921235988|0|3301.0|0
0|2020-04-07|2953.0|0|348.0|0|10.542259921235988|0|3301.0|0
0|2020-04-08|2953.0|0|348.0|0|10.542259921235988|0|3301.0|0
0|2020-04-09|2953.0|0|348.0|0|10.542259921235988|0|3301.0|0
0|2020-04-10|2953.0|0|348.0|0|10.542259921235988|0|3301.0|0
0|2020-04-11|2953.0|0|348.0|0|10.542259921235988|0|3301.0|0
0|2020-04-12|2953.0|0|348.0|0|10.542259921235988|0|3301.0|0
0|2020-04-13|2953.0|0|348.0|0|10.542259921235988|0|3301.0|0
0|2020-04-14|2953.0|0|348.0|0|10.542259921235988|0|3301.0|0
0|2020-04-15|2953.0|0|348.0|0|10.542259921235988|0|3301.0|0
0|2020-04-16|2953.0|0|348.0|0|10.542259921235988|0|3301.0|0
0|2020-04-17|2953.0|0|348.0|0|10.542259921235988|0|3301.0|0
