|dates|McMullen_Texas_UnitedStates.BLS_EmployedPopulation.data|McMullen_Texas_UnitedStates.BLS_EmployedPopulation.missing|McMullen_Texas_UnitedStates.BLS_UnemployedPopulation.data|McMullen_Texas_UnitedStates.BLS_UnemployedPopulation.missing|McMullen_Texas_UnitedStates.BLS_UnemploymentRate.data|McMullen_Texas_UnitedStates.BLS_UnemploymentRate.missing|McMullen_Texas_UnitedStates.BLS_LaborForcePopulation.data|McMullen_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|838.0|0|13.0|0|1.527614571092832|0|851.0|0
0|2020-01-02|838.0|0|13.0|0|1.527614571092832|0|851.0|0
0|2020-01-03|838.0|0|13.0|0|1.527614571092832|0|851.0|0
0|2020-01-04|838.0|0|13.0|0|1.527614571092832|0|851.0|0
0|2020-01-05|838.0|0|13.0|0|1.527614571092832|0|851.0|0
0|2020-01-06|838.0|0|13.0|0|1.527614571092832|0|851.0|0
0|2020-01-07|838.0|0|13.0|0|1.527614571092832|0|851.0|0
0|2020-01-08|838.0|0|13.0|0|1.527614571092832|0|851.0|0
0|2020-01-09|838.0|0|13.0|0|1.527614571092832|0|851.0|0
0|2020-01-10|838.0|0|13.0|0|1.527614571092832|0|851.0|0
0|2020-01-11|838.0|0|13.0|0|1.527614571092832|0|851.0|0
0|2020-01-12|838.0|0|13.0|0|1.527614571092832|0|851.0|0
0|2020-01-13|838.0|0|13.0|0|1.527614571092832|0|851.0|0
0|2020-01-14|838.0|0|13.0|0|1.527614571092832|0|851.0|0
0|2020-01-15|838.0|0|13.0|0|1.527614571092832|0|851.0|0
0|2020-01-16|838.0|0|13.0|0|1.527614571092832|0|851.0|0
0|2020-01-17|838.0|0|13.0|0|1.527614571092832|0|851.0|0
0|2020-01-18|838.0|0|13.0|0|1.527614571092832|0|851.0|0
0|2020-01-19|838.0|0|13.0|0|1.527614571092832|0|851.0|0
0|2020-01-20|838.0|0|13.0|0|1.527614571092832|0|851.0|0
0|2020-01-21|838.0|0|13.0|0|1.527614571092832|0|851.0|0
0|2020-01-22|838.0|0|13.0|0|1.527614571092832|0|851.0|0
