|dates|Missaukee_Michigan_UnitedStates.BLS_EmployedPopulation.data|Missaukee_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Missaukee_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Missaukee_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Missaukee_Michigan_UnitedStates.BLS_UnemploymentRate.data|Missaukee_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Missaukee_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Missaukee_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-02|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-03|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-04|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-05|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-06|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-07|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-08|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-09|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-10|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-11|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-12|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-13|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-14|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-15|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-16|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-17|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-18|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-19|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-20|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-21|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-22|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-23|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-24|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-25|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-26|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-27|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-28|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-29|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-30|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-01-31|6423.0|0|416.0|0|6.0827606375201055|0|6839.0|0
0|2020-02-01|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-02|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-03|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-04|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-05|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-06|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-07|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-08|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-09|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-10|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-11|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-12|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-13|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-14|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-15|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-16|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-17|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-18|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-19|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-20|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-21|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-22|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-23|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-24|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-25|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-26|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-27|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-28|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-02-29|6522.0|0|362.0|0|5.258570598489251|0|6884.0|0
0|2020-03-01|6440.5|0|366.5|0|5.384163361245776|0|6807.0|0
0|2020-03-02|6440.5|0|366.5|0|5.384163361245776|0|6807.0|0
0|2020-03-03|6440.5|0|366.5|0|5.384163361245776|0|6807.0|0
0|2020-03-04|6440.5|0|366.5|0|5.384163361245776|0|6807.0|0
0|2020-03-05|6440.5|0|366.5|0|5.384163361245776|0|6807.0|0
0|2020-03-06|6440.5|0|366.5|0|5.384163361245776|0|6807.0|0
0|2020-03-07|6440.5|0|366.5|0|5.384163361245776|0|6807.0|0
0|2020-03-08|6440.5|0|366.5|0|5.384163361245776|0|6807.0|0
0|2020-03-09|6440.5|0|366.5|0|5.384163361245776|0|6807.0|0
0|2020-03-10|6440.5|0|366.5|0|5.384163361245776|0|6807.0|0
0|2020-03-11|6440.5|0|366.5|0|5.384163361245776|0|6807.0|0
