|dates|Ocean_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Ocean_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Ocean_NewJersey_UnitedStates.Male_Total_Population.data|Ocean_NewJersey_UnitedStates.Male_Total_Population.missing|Ocean_NewJersey_UnitedStates.Female_Total_Population.data|Ocean_NewJersey_UnitedStates.Female_Total_Population.missing|Ocean_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.data|Ocean_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-01-02|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-01-03|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-01-04|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-01-05|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-01-06|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-01-07|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-01-08|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-01-09|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-01-10|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-01-11|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-01-12|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-01-13|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-01-14|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-01-15|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-01-16|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-01-17|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-01-18|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-01-19|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-01-20|135652.0|0|290366.0|0|311285.0|0|144247.0|0
