|dates|Oliver_NorthDakota_UnitedStates.AverageDailyTemperature.data|Oliver_NorthDakota_UnitedStates.AverageDailyTemperature.missing|Oliver_NorthDakota_UnitedStates.AverageDewPoint.data|Oliver_NorthDakota_UnitedStates.AverageDewPoint.missing|Oliver_NorthDakota_UnitedStates.AverageRelativeHumidity.data|Oliver_NorthDakota_UnitedStates.AverageRelativeHumidity.missing|Oliver_NorthDakota_UnitedStates.AverageSurfaceAirPressure.data|Oliver_NorthDakota_UnitedStates.AverageSurfaceAirPressure.missing
0|2020-01-01|35.208333333333336|0|31.885416666666668|0|87.80208333333333|0|27.384583333333307|0
0|2020-01-02|32.375|0|31.0|0|95.38541666666667|0|27.652552083333358|0
0|2020-01-03|20.302083333333332|0|16.901041666666668|0|87.79166666666667|0|28.039062499999982|0
0|2020-01-04|27.645833333333332|0|23.333333333333332|0|84.58333333333333|0|27.88229166666667|0
0|2020-01-05|30.71875|0|24.958333333333332|0|79.40625|0|28.118750000000002|0
0|2020-01-06|18.708333333333332|0|15.510416666666666|0|88.02083333333333|0|28.056666666666658|0
0|2020-01-07|11.630208333333334|0|5.71875|0|77.61979166666667|0|28.225729166666657|0
0|2020-01-08|10.979166666666666|0|6.1875|0|81.4375|0|27.95552083333332|0
0|2020-01-09|12.875|0|8.854166666666666|0|84.53125|0|27.911250000000006|0
0|2020-01-10|-1.7447916666666667|0|-8.09375|0|74.765625|0|28.361875000000023|0
0|2020-01-11|4.453125|0|-2.28125|0|74.58333333333333|0|28.10375|0
0|2020-01-12|13.041666666666666|0|8.78125|0|84.03125|0|27.962187500000002|0
0|2020-01-13|9.645833333333334|0|7.78125|0|92.01041666666667|0|28.011770833333347|0
0|2020-01-14|-7.994791666666667|0|-15.645833333333334|0|69.08333333333333|0|28.21270833333335|0
0|2020-01-15|-13.3125|0|-20.541666666666668|0|70.02083333333333|0|28.473229166666655|0
0|2020-01-16|-13.104166666666666|0|-20.96875|0|68.72916666666667|0|28.494374999999994|0
0|2020-01-17|6.609375|0|3.5052083333333335|0|87.11979166666667|0|27.98234375000001|0
0|2020-01-18|-6.036458333333333|0|-14.28125|0|67.57291666666667|0|28.365208333333342|0
0|2020-01-19|-8.416666666666666|0|-14.416666666666666|0|75.45833333333333|0|28.623125000000027|0
0|2020-01-20|3.2447916666666665|0|-3.2604166666666665|0|74.34375|0|28.45067708333335|0
0|2020-01-21|23.697916666666668|0|19.625|0|84.91666666666667|0|27.890208333333316|0
0|2020-01-22|21.828125|0|21.125|0|93.44791666666667|0|27.90348958333338|0
0|2020-01-23|22.5625|0|22.479166666666668|0|93.02083333333333|0|28.211145833333322|0
0|2020-01-24|19.625|0|19.645833333333332|0|98.95833333333333|0|28.138645833333356|0
0|2020-01-25|28.364583333333332|0|27.416666666666668|0|91.80208333333333|0|27.953333333333358|0
0|2020-01-26|30.21875|0|29.989583333333332|0|96.38541666666667|0|28.023645833333322|0
0|2020-01-27|26.822916666666668|0|26.802083333333332|0|92.125|0|28.14161458333335|0
0|2020-01-28|26.989583333333332|0|25.9375|0|94.35416666666667|0|28.079062499999992|0
0|2020-01-29|23.364583333333332|0|23.427083333333332|0|95.83333333333333|0|28.138437500000023|0
0|2020-01-30|23.947916666666668|0|23.958333333333332|0|97.77083333333333|0|28.017604166666672|0
