|dates|Pawnee_Oklahoma_UnitedStates.AverageDailyTemperature.data|Pawnee_Oklahoma_UnitedStates.AverageDailyTemperature.missing|Pawnee_Oklahoma_UnitedStates.AverageDewPoint.data|Pawnee_Oklahoma_UnitedStates.AverageDewPoint.missing|Pawnee_Oklahoma_UnitedStates.AverageRelativeHumidity.data|Pawnee_Oklahoma_UnitedStates.AverageRelativeHumidity.missing|Pawnee_Oklahoma_UnitedStates.AverageSurfaceAirPressure.data|Pawnee_Oklahoma_UnitedStates.AverageSurfaceAirPressure.missing
0|2020-01-01|46.375|0|29.625|0|53.666666666666664|0|28.677499999999995|0
0|2020-01-02|48.666666666666664|0|40.0|0|73.02083333333333|0|28.54354166666667|0
0|2020-01-03|43.375|0|32.958333333333336|0|68.54166666666667|0|28.93708333333333|0
0|2020-01-04|39.833333333333336|0|23.5|0|56.583333333333336|0|29.198749999999993|0
0|2020-01-05|45.375|0|26.25|0|50.916666666666664|0|29.15166666666666|0
0|2020-01-06|40.70138888888889|0|23.743055555555554|0|54.125|0|29.127569444444443|0
0|2020-01-07|42.458333333333336|0|19.75|0|46.958333333333336|0|29.217916666666653|0
0|2020-01-08|49.083333333333336|0|22.583333333333332|0|39.375|0|29.011666666666667|0
0|2020-01-09|62.18055555555555|0|49.916666666666664|0|65.79166666666667|0|28.80194444444444|0
0|2020-01-10|52.53472222222223|0|47.57986111111111|0|83.62152777777779|0|28.78909722222222|0
0|2020-01-11|26.92152777777778|0|20.42152777777778|0|76.9875|0|29.03102083333333|0
0|2020-01-12|38.729166666666664|0|28.75|0|70.14583333333333|0|29.008958333333336|0
0|2020-01-13|44.90972222222223|0|41.208333333333336|0|87.05555555555554|0|29.003333333333345|0
0|2020-01-14|56.1875|0|49.013888888888886|0|77.38194444444444|0|28.955763888888885|0
0|2020-01-15|48.99583333333334|0|41.7125|0|76.72500000000001|0|29.064875|0
0|2020-01-16|31.930555555555557|0|20.61111111111111|0|63.701388888888886|0|29.464236111111116|0
0|2020-01-17|42.19444444444444|0|39.125|0|89.05555555555554|0|29.068194444444455|0
0|2020-01-18|41.520833333333336|0|26.1875|0|57.0625|0|29.25062499999999|0
0|2020-01-19|35.25|0|21.541666666666668|0|60.416666666666664|0|29.461666666666673|0
0|2020-01-20|31.5|0|17.666666666666668|0|58.75|0|29.481250000000003|0
0|2020-01-21|33.166666666666664|0|22.333333333333332|0|65.875|0|29.325833333333332|0
0|2020-01-22|37.14930555555556|0|33.701388888888886|0|87.59375|0|28.932013888888886|0
0|2020-01-23|43.45138888888889|0|34.80555555555556|0|74.70138888888889|0|28.92|0
0|2020-01-24|37.8125|0|27.805555555555554|0|68.27083333333333|0|29.035763888888876|0
0|2020-01-25|42.708333333333336|0|32.208333333333336|0|68.33333333333333|0|28.97749999999998|0
0|2020-01-26|43.875|0|34.166666666666664|0|71.875|0|28.955000000000013|0
0|2020-01-27|47.833333333333336|0|33.875|0|63.75|0|28.912916666666664|0
0|2020-01-28|37.94444444444445|0|33.1875|0|83.6875|0|28.90673611111112|0
0|2020-01-29|36.208333333333336|0|30.423611111111114|0|79.75694444444444|0|29.072986111111117|0
0|2020-01-30|32.739583333333336|0|27.923611111111114|0|82.82986111111111|0|29.071284722222213|0
0|2020-01-31|37.708333333333336|0|28.541666666666668|0|72.25|0|29.055000000000003|0
0|2020-02-01|43.916666666666664|0|28.208333333333332|0|57.916666666666664|0|29.034166666666668|0
0|2020-02-02|58.083333333333336|0|32.916666666666664|0|41.75|0|28.802500000000006|0
0|2020-02-03|55.0625|0|31.75|0|45.4375|0|28.63895833333333|0
0|2020-02-04|34.63194444444445|0|28.48263888888889|0|78.43402777777777|0|28.91131944444444|0
0|2020-02-05|30.529861111111114|0|23.444444444444446|0|75.12638888888888|0|28.892305555555556|0
0|2020-02-06|32.145833333333336|0|20.791666666666668|0|64.47916666666667|0|28.682291666666668|0
0|2020-02-07|37.5|0|25.666666666666668|0|64.95833333333333|0|28.827083333333334|0
0|2020-02-08|44.166666666666664|0|28.333333333333332|0|57.791666666666664|0|29.02291666666666|0
0|2020-02-09|53.5|0|40.21180555555556|0|61.225694444444436|0|28.89239583333334|0
