|dates|Pierce_NorthDakota_UnitedStates.BLS_EmployedPopulation.data|Pierce_NorthDakota_UnitedStates.BLS_EmployedPopulation.missing|Pierce_NorthDakota_UnitedStates.BLS_UnemployedPopulation.data|Pierce_NorthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Pierce_NorthDakota_UnitedStates.BLS_UnemploymentRate.data|Pierce_NorthDakota_UnitedStates.BLS_UnemploymentRate.missing|Pierce_NorthDakota_UnitedStates.BLS_LaborForcePopulation.data|Pierce_NorthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-02|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-03|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-04|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-05|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-06|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-07|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-08|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-09|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-10|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-11|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-12|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-13|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-14|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-15|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-16|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-17|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-18|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-19|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-20|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-21|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-22|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-23|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-24|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-25|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-26|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-27|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-28|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-29|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-30|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-01-31|1594.5|0|61.0|0|3.684687405617638|0|1655.5|0
0|2020-02-01|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-02|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-03|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-04|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-05|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-06|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-07|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-08|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-09|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-10|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-11|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-12|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-13|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-14|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-15|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-16|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-17|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-18|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-19|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-20|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-21|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-22|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-23|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-24|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-25|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-26|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-27|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-28|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-02-29|1595.0|0|65.0|0|3.9156626506024095|0|1660.0|0
0|2020-03-01|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-02|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-03|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-04|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-05|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-06|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-07|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-08|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-09|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-10|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-11|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-12|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-13|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-14|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-15|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-16|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-17|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-18|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-19|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-20|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-21|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-22|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-23|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-24|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-25|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-26|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-27|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-28|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-29|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-30|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-03-31|1604.5|0|68.0|0|4.0657698056801195|0|1672.5|0
0|2020-04-01|1560.5|0|141.0|0|8.286805759623862|0|1701.5|0
0|2020-04-02|1560.5|0|141.0|0|8.286805759623862|0|1701.5|0
0|2020-04-03|1560.5|0|141.0|0|8.286805759623862|0|1701.5|0
0|2020-04-04|1560.5|0|141.0|0|8.286805759623862|0|1701.5|0
0|2020-04-05|1560.5|0|141.0|0|8.286805759623862|0|1701.5|0
0|2020-04-06|1560.5|0|141.0|0|8.286805759623862|0|1701.5|0
0|2020-04-07|1560.5|0|141.0|0|8.286805759623862|0|1701.5|0
0|2020-04-08|1560.5|0|141.0|0|8.286805759623862|0|1701.5|0
0|2020-04-09|1560.5|0|141.0|0|8.286805759623862|0|1701.5|0
0|2020-04-10|1560.5|0|141.0|0|8.286805759623862|0|1701.5|0
0|2020-04-11|1560.5|0|141.0|0|8.286805759623862|0|1701.5|0
0|2020-04-12|1560.5|0|141.0|0|8.286805759623862|0|1701.5|0
0|2020-04-13|1560.5|0|141.0|0|8.286805759623862|0|1701.5|0
0|2020-04-14|1560.5|0|141.0|0|8.286805759623862|0|1701.5|0
0|2020-04-15|1560.5|0|141.0|0|8.286805759623862|0|1701.5|0
0|2020-04-16|1560.5|0|141.0|0|8.286805759623862|0|1701.5|0
0|2020-04-17|1560.5|0|141.0|0|8.286805759623862|0|1701.5|0
0|2020-04-18|1560.5|0|141.0|0|8.286805759623862|0|1701.5|0
