|dates|Pittsburg_Oklahoma_UnitedStates.BLS_EmployedPopulation.data|Pittsburg_Oklahoma_UnitedStates.BLS_EmployedPopulation.missing|Pittsburg_Oklahoma_UnitedStates.BLS_UnemployedPopulation.data|Pittsburg_Oklahoma_UnitedStates.BLS_UnemployedPopulation.missing|Pittsburg_Oklahoma_UnitedStates.BLS_UnemploymentRate.data|Pittsburg_Oklahoma_UnitedStates.BLS_UnemploymentRate.missing|Pittsburg_Oklahoma_UnitedStates.BLS_LaborForcePopulation.data|Pittsburg_Oklahoma_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-02|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-03|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-04|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-05|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-06|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-07|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-08|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-09|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-10|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-11|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-12|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-13|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-14|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-15|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-16|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-17|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-18|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-19|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-20|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-21|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-22|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-23|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-24|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-25|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-26|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-27|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-28|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-29|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
0|2020-01-30|16278.0|0|759.5|0|4.457813646368305|0|17037.5|0
