|dates|Plaquemines_Louisiana_UnitedStates.AverageDailyTemperature.data|Plaquemines_Louisiana_UnitedStates.AverageDailyTemperature.missing|Plaquemines_Louisiana_UnitedStates.AverageDewPoint.data|Plaquemines_Louisiana_UnitedStates.AverageDewPoint.missing|Plaquemines_Louisiana_UnitedStates.AverageRelativeHumidity.data|Plaquemines_Louisiana_UnitedStates.AverageRelativeHumidity.missing|Plaquemines_Louisiana_UnitedStates.AverageSurfaceAirPressure.data|Plaquemines_Louisiana_UnitedStates.AverageSurfaceAirPressure.missing
0|2020-01-01|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-02|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-03|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-04|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-05|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-06|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-07|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-08|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-09|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-10|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-11|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-12|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-13|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-14|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-15|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-16|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-17|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-18|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-19|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-20|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-21|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-22|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-23|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-24|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-25|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-26|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-27|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-28|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-29|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-30|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-01-31|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-01|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-02|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-03|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-04|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-05|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-06|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-07|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-08|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-09|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-10|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-11|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-12|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-13|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-14|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-15|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-16|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-17|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-18|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-19|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-20|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-21|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-22|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-23|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-24|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-25|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-26|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-27|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-28|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-02-29|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-01|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-02|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-03|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-04|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-05|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-06|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-07|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-08|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-09|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-10|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-11|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-12|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-13|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-14|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-15|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-16|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-17|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-18|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-19|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-20|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-21|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-22|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-23|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-24|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-25|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-26|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-27|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-28|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-29|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-30|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-03-31|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-04-01|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-04-02|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-04-03|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-04-04|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-04-05|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-04-06|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-04-07|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-04-08|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-04-09|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-04-10|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-04-11|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-04-12|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-04-13|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-04-14|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-04-15|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-04-16|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-04-17|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-04-18|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-04-19|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-04-20|52.0|0|0.0|100|49.0|0|0.0|100
0|2020-04-21|52.0|0|0.0|100|49.0|0|0.0|100
