|dates|Roane_Tennessee_UnitedStates.AverageDailyTemperature.data|Roane_Tennessee_UnitedStates.AverageDailyTemperature.missing|Roane_Tennessee_UnitedStates.AverageDewPoint.data|Roane_Tennessee_UnitedStates.AverageDewPoint.missing|Roane_Tennessee_UnitedStates.AverageRelativeHumidity.data|Roane_Tennessee_UnitedStates.AverageRelativeHumidity.missing|Roane_Tennessee_UnitedStates.AverageSurfaceAirPressure.data|Roane_Tennessee_UnitedStates.AverageSurfaceAirPressure.missing
0|2020-01-01|40.541666666666664|0|25.75|0|57.75|0|29.05041666666666|0
0|2020-01-02|42.84444444444444|0|36.23263888888889|0|78.65416666666667|0|28.975611111111107|0
0|2020-01-03|49.645833333333336|0|47.46875|0|92.24652777777779|0|28.884777777777774|0
0|2020-01-04|46.87152777777778|0|38.583333333333336|0|73.78125|0|28.99972222222222|0
0|2020-01-05|40.416666666666664|0|28.229166666666668|0|62.895833333333336|0|29.274166666666677|0
0|2020-01-06|41.416666666666664|0|27.541666666666668|0|62.083333333333336|0|29.189999999999998|0
0|2020-01-07|44.71527777777778|0|29.26388888888889|0|58.694444444444436|0|29.109791666666663|0
0|2020-01-08|42.291666666666664|0|27.25|0|57.958333333333336|0|29.395416666666677|0
0|2020-01-09|44.375|0|30.541666666666668|0|62.833333333333336|0|29.459583333333338|0
0|2020-01-10|53.291666666666664|0|43.791666666666664|0|70.45833333333333|0|29.34958333333333|0
0|2020-01-11|64.47708333333334|0|55.712499999999984|0|73.94652777777777|0|29.014944444444442|0
0|2020-01-12|52.208333333333336|0|43.27777777777778|0|72.75|0|29.27256944444444|0
0|2020-01-13|51.3125|0|45.333333333333336|0|80.60416666666667|0|29.345208333333343|0
0|2020-01-14|59.55138888888889|0|57.02708333333334|0|91.47291666666666|0|29.22022222222223|0
0|2020-01-15|61.231249999999996|0|58.37847222222223|0|90.45208333333333|0|29.177854166666652|0
0|2020-01-16|51.583333333333336|0|32.208333333333336|0|50.65277777777778|0|29.44430555555556|0
0|2020-01-17|39.541666666666664|0|18.916666666666668|0|43.916666666666664|0|29.567916666666665|0
0|2020-01-18|44.237500000000004|0|34.06666666666667|0|70.8202380952381|0|29.2259751984127|0
0|2020-01-19|35.708333333333336|0|20.5|0|54.9375|0|29.236666666666668|0
0|2020-01-20|25.25|0|11.416666666666666|0|55.770833333333336|0|29.455625|0
0|2020-01-21|27.458333333333332|0|12.0|0|52.875|0|29.523333333333337|0
0|2020-01-22|29.833333333333332|0|18.208333333333332|0|63.416666666666664|0|29.384166666666673|0
0|2020-01-23|38.875|0|27.125|0|64.625|0|29.197500000000005|0
