|dates|Robertson_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Robertson_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Robertson_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Robertson_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Robertson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Robertson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Robertson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Robertson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-19|1.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-20|1.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-21|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-22|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-23|6.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-24|12.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-25|15.0|0|15.0|0|0.0|0|0.0|100
0|2020-03-26|20.0|0|20.0|0|0.0|0|0.0|100
0|2020-03-27|22.0|0|22.0|0|0.0|0|0.0|100
0|2020-03-28|23.0|0|23.0|0|0.0|0|0.0|100
0|2020-03-29|25.0|0|25.0|0|0.0|0|0.0|100
0|2020-03-30|25.0|0|27.0|0|0.0|0|0.0|100
0|2020-03-31|28.0|0|27.0|0|0.0|0|0.0|100
0|2020-04-01|35.0|0|35.0|0|0.0|0|0.0|100
0|2020-04-02|41.0|0|41.0|0|0.0|0|0.0|100
0|2020-04-03|51.0|0|51.0|0|0.0|0|0.0|100
0|2020-04-04|51.0|0|51.0|0|0.0|0|0.0|100
0|2020-04-05|59.0|0|59.0|0|0.0|0|0.0|100
0|2020-04-06|60.0|0|60.0|0|0.0|0|0.0|100
0|2020-04-07|65.0|0|65.0|0|0.0|0|0.0|100
0|2020-04-08|67.0|0|67.0|0|0.0|0|0.0|100
0|2020-04-09|70.0|0|70.0|0|0.0|0|0.0|100
0|2020-04-10|73.0|0|73.0|0|0.0|0|0.0|100
0|2020-04-11|81.0|0|81.0|0|0.0|0|0.0|100
0|2020-04-12|84.0|0|81.0|0|0.0|0|0.0|100
0|2020-04-13|88.0|0|88.0|0|0.0|0|0.0|100
0|2020-04-14|88.0|0|92.0|0|0.0|0|0.0|100
0|2020-04-15|88.0|0|94.0|0|0.0|0|0.0|100
0|2020-04-16|94.0|0|95.0|0|0.0|0|0.0|100
0|2020-04-17|95.0|0|105.0|0|0.0|0|0.0|100
0|2020-04-18|105.0|0|105.0|0|0.0|0|0.0|100
0|2020-04-19|113.0|0|113.0|0|0.0|0|0.0|100
0|2020-04-20|116.0|0|116.0|0|0.0|0|0.0|100
0|2020-04-21|117.0|0|117.0|0|0.0|0|0.0|100
0|2020-04-22|117.0|0|123.0|0|0.0|0|0.0|100
0|2020-04-23|126.0|0|126.0|0|0.0|0|0.0|100
0|2020-04-24|125.0|0|125.0|0|0.0|0|0.0|100
0|2020-04-25|127.0|0|127.0|0|0.0|0|0.0|100
0|2020-04-26|136.0|0|136.0|0|0.0|0|0.0|100
0|2020-04-27|138.0|0|138.0|0|0.0|0|0.0|100
0|2020-04-28|139.0|0|139.0|0|0.0|0|0.0|100
0|2020-04-29|139.0|0|139.0|0|0.0|0|0.0|100
0|2020-04-30|148.0|0|148.0|0|0.0|0|0.0|100
0|2020-05-01|157.0|0|157.0|0|0.0|0|0.0|100
0|2020-05-02|168.0|0|168.0|0|0.0|0|0.0|100
0|2020-05-03|179.0|0|179.0|0|0.0|0|0.0|100
0|2020-05-04|184.0|0|184.0|0|0.0|0|0.0|100
0|2020-05-05|185.0|0|185.0|0|0.0|0|0.0|100
0|2020-05-06|186.0|0|186.0|0|0.0|0|0.0|100
0|2020-05-07|195.0|0|195.0|0|0.0|0|0.0|100
0|2020-05-08|207.0|0|207.0|0|0.0|0|0.0|100
0|2020-05-09|219.0|0|219.0|0|0.0|0|0.0|100
0|2020-05-10|218.0|0|218.0|0|0.0|0|0.0|100
0|2020-05-11|220.0|0|220.0|0|0.0|0|0.0|100
0|2020-05-12|244.0|0|244.0|0|0.0|0|0.0|100
0|2020-05-13|245.0|0|245.0|0|0.0|0|0.0|100
