|dates|Rowan_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Rowan_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Rowan_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Rowan_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Rowan_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Rowan_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Rowan_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Rowan_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-02|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-03|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-04|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-05|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-06|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-07|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-08|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-09|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-10|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-11|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-12|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-13|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-14|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-15|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-16|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-17|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-18|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-19|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-20|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-21|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-22|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-23|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-24|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-25|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-26|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-27|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-28|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-29|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-30|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-01-31|64101.0|0|2774.0|0|4.14803738317757|0|66875.0|0
0|2020-02-01|64757.5|0|2578.0|0|3.8285896740946455|0|67335.5|0
0|2020-02-02|64757.5|0|2578.0|0|3.8285896740946455|0|67335.5|0
