|dates|Sacramento_California_UnitedStates.AveragePrecipitationTotal.data|Sacramento_California_UnitedStates.AveragePrecipitationTotal.missing|Sacramento_California_UnitedStates.AveragePrecipitation.data|Sacramento_California_UnitedStates.AveragePrecipitation.missing|Sacramento_California_UnitedStates.AverageWindDirection.data|Sacramento_California_UnitedStates.AverageWindDirection.missing|Sacramento_California_UnitedStates.AverageWindSpeed.data|Sacramento_California_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|135.83333333333334|0|3.375|0
0|2020-01-02|0.0|0|0.0|0|157.29166666666666|0|3.6041666666666665|0
0|2020-01-03|0.0|0|0.0|0|75.625|0|2.9583333333333335|0
0|2020-01-04|0.0|0|0.0|0|135.83333333333334|0|4.875|0
0|2020-01-05|0.0|0|0.0|0|175.625|0|3.3333333333333335|0
0|2020-01-06|0.0|0|0.0|0|156.04166666666666|0|4.375|0
0|2020-01-07|0.0|0|0.0|0|102.29166666666667|0|5.298611111111111|0
0|2020-01-08|0.0|0|0.0|0|186.04166666666666|0|6.0625|0
0|2020-01-09|0.0|0|0.0|0|158.75|0|7.083333333333333|0
0|2020-01-10|0.0|0|0.0|0|105.41666666666667|0|4.979166666666667|0
0|2020-01-11|0.0|0|0.0|0|112.29166666666667|0|5.5|0
0|2020-01-12|0.0|0|0.0|0|127.29166666666667|0|5.583333333333333|0
0|2020-01-13|0.0|0|0.0|0|165.625|0|9.625|0
0|2020-01-14|0.0|0|0.0|0|157.5|0|9.166666666666666|0
0|2020-01-15|0.0|0|0.0|0|123.95833333333333|0|5.4375|0
0|2020-01-16|0.0|0|0.0|0|150.0|0|13.1875|0
0|2020-01-17|0.0|0|0.0|0|187.08333333333334|0|6.0|0
0|2020-01-18|0.0|0|0.0|0|144.375|0|3.875|0
0|2020-01-19|0.0|0|0.0|0|49.166666666666664|0|1.5208333333333333|0
0|2020-01-20|0.0|0|0.0|0|78.33333333333333|0|2.1458333333333335|0
0|2020-01-21|0.0|0|0.0|0|131.875|0|7.979166666666667|0
0|2020-01-22|0.0|0|0.0|0|103.125|0|3.6458333333333335|0
0|2020-01-23|0.0|0|0.0|0|37.708333333333336|0|0.6875|0
0|2020-01-24|0.0|0|0.0|0|173.54166666666666|0|3.7291666666666665|0
0|2020-01-25|0.0|0|0.0|0|146.875|0|4.520833333333333|0
0|2020-01-26|0.0|0|0.0|0|161.25|0|8.333333333333334|0
0|2020-01-27|0.0|0|0.0|0|163.75|0|6.958333333333333|0
0|2020-01-28|0.0|0|0.0|0|137.08333333333334|0|6.541666666666667|0
0|2020-01-29|0.0|0|0.0|0|220.83333333333334|0|8.472222222222221|0
0|2020-01-30|0.0|0|0.0|0|157.5|0|5.25|0
0|2020-01-31|0.0|0|0.0|0|78.125|0|2.75|0
0|2020-02-01|0.0|0|0.0|0|69.375|0|6.229166666666667|0
0|2020-02-02|0.0|0|0.0|0|221.875|0|9.208333333333334|0
0|2020-02-03|0.0|0|0.0|0|306.6666666666667|0|16.041666666666668|0
0|2020-02-04|0.0|0|0.0|0|263.3333333333333|0|9.145833333333334|0
0|2020-02-05|0.0|0|0.0|0|101.45833333333333|0|2.8333333333333335|0
0|2020-02-06|0.0|0|0.0|0|112.91666666666667|0|3.4375|0
0|2020-02-07|0.0|0|0.0|0|92.91666666666667|0|3.875|0
0|2020-02-08|0.0|0|0.0|0|170.0|0|4.958333333333333|0
0|2020-02-09|0.0|0|0.0|0|243.54166666666666|0|17.645833333333332|0
0|2020-02-10|0.0|0|0.0|0|288.75|0|13.625|0
0|2020-02-11|0.0|0|0.0|0|65.41666666666667|0|4.1875|0
0|2020-02-12|0.0|0|0.0|0|83.75|0|2.7708333333333335|0
0|2020-02-13|0.0|0|0.0|0|145.20833333333334|0|4.645833333333333|0
0|2020-02-14|0.0|0|0.0|0|180.0|0|4.520833333333333|0
0|2020-02-15|0.0|0|0.0|0|121.45833333333333|0|2.7083333333333335|0
0|2020-02-16|0.0|0|0.0|0|51.25|0|2.625|0
0|2020-02-17|0.0|0|0.0|0|263.75|0|10.479166666666666|0
0|2020-02-18|0.0|0|0.0|0|105.83333333333333|0|1.875|0
0|2020-02-19|0.0|0|0.0|0|106.25|0|2.7708333333333335|0
0|2020-02-20|0.0|0|0.0|0|166.25|0|3.5416666666666665|0
0|2020-02-21|0.0|0|0.0|0|220.0|0|4.583333333333333|0
0|2020-02-22|0.0|0|0.0|0|177.08333333333334|0|6.5625|0
0|2020-02-23|0.0|0|0.0|0|115.41666666666667|0|5.145833333333333|0
0|2020-02-24|0.0|0|0.0|0|249.375|0|9.020833333333334|0
0|2020-02-25|0.0|0|0.0|0|98.95833333333333|0|3.0|0
0|2020-02-26|0.0|0|0.0|0|51.041666666666664|0|2.2916666666666665|0
0|2020-02-27|0.0|0|0.0|0|90.0|0|1.5625|0
0|2020-02-28|0.0|0|0.0|0|100.83333333333333|0|3.9791666666666665|0
0|2020-02-29|0.0|0|0.0|0|171.875|0|8.8125|0
0|2020-03-01|0.0|0|0.0|0|203.75|0|7.583333333333333|0
0|2020-03-02|0.0|0|0.0|0|326.875|0|16.958333333333332|0
0|2020-03-03|0.0|0|0.0|0|97.70833333333333|0|2.9166666666666665|0
0|2020-03-04|0.0|0|0.0|0|70.83333333333333|0|2.6458333333333335|0
0|2020-03-05|0.0|0|0.0|0|164.16666666666666|0|6.166666666666667|0
0|2020-03-06|0.0|0|0.0|0|177.70833333333334|0|8.0625|0
0|2020-03-07|0.0|0|0.0|0|165.83333333333334|0|8.083333333333334|0
0|2020-03-08|0.0|0|0.0|0|124.375|0|4.083333333333333|0
0|2020-03-09|0.0|0|0.0|0|155.625|0|3.3958333333333335|0
0|2020-03-10|0.0|0|0.0|0|234.16666666666666|0|6.770833333333333|0
0|2020-03-11|0.0|0|0.0|0|122.5|0|5.270833333333333|0
0|2020-03-12|0.0|0|0.0|0|157.91666666666666|0|4.625|0
0|2020-03-13|0.0|0|0.0|0|169.375|0|12.270833333333334|0
0|2020-03-14|0.0|0|0.0|0|196.04166666666666|0|11.666666666666666|0
0|2020-03-15|0.0|0|0.0|0|179.375|0|12.645833333333334|0
0|2020-03-16|0.0|0|0.0|0|188.75|0|5.25|0
0|2020-03-17|0.0|0|0.0|0|129.16666666666666|0|4.8125|0
0|2020-03-18|0.0|0|0.0|0|163.33333333333334|0|4.395833333333333|0
0|2020-03-19|0.0|0|0.0|0|155.83333333333334|0|4.833333333333333|0
0|2020-03-20|0.0|0|0.0|0|98.54166666666667|0|3.3333333333333335|0
0|2020-03-21|0.0|0|0.0|0|107.91666666666667|0|4.166666666666667|0
0|2020-03-22|0.0|0|0.0|0|92.29166666666667|0|2.375|0
0|2020-03-23|0.0|0|0.0|0|146.25|0|10.958333333333334|0
0|2020-03-24|0.0|0|0.0|0|175.20833333333334|0|9.395833333333334|0
0|2020-03-25|0.0|0|0.0|0|193.125|0|7.020833333333333|0
0|2020-03-26|0.0|0|0.0|0|144.79166666666666|0|3.7291666666666665|0
0|2020-03-27|0.0|0|0.0|0|151.66666666666666|0|9.25|0
0|2020-03-28|0.0|0|0.0|0|155.20833333333334|0|7.9375|0
0|2020-03-29|0.0|0|0.0|0|155.20833333333334|0|5.395833333333333|0
0|2020-03-30|0.0|0|0.0|0|181.04166666666666|0|7.0625|0
0|2020-03-31|0.0|0|0.0|0|173.75|0|7.666666666666667|0
0|2020-04-01|0.0|0|0.0|0|174.16666666666666|0|6.458333333333333|0
0|2020-04-02|0.0|0|0.0|0|249.375|0|8.0625|0
0|2020-04-03|0.0|0|0.0|0|165.0|0|5.375|0
0|2020-04-04|0.0|0|0.0|0|158.95833333333334|0|9.583333333333334|0
0|2020-04-05|0.0|0|0.0|0|177.08333333333334|0|11.229166666666666|0
0|2020-04-06|0.0|0|0.0|0|141.45833333333334|0|3.9375|0
0|2020-04-07|0.0|0|0.0|0|155.20833333333334|0|3.1875|0
0|2020-04-08|0.0|0|0.0|0|145.625|0|5.979166666666667|0
0|2020-04-09|0.0|0|0.0|0|150.41666666666666|0|8.0625|0
0|2020-04-10|0.0|0|0.0|0|148.95833333333334|0|5.0|0
0|2020-04-11|0.0|0|0.0|0|174.93055555555554|0|7.277777777777779|0
0|2020-04-12|0.0|0|0.0|0|175.41666666666666|0|5.375|0
0|2020-04-13|0.0|0|0.0|0|217.08333333333334|0|6.104166666666667|0
0|2020-04-14|0.0|0|0.0|0|265.8333333333333|0|6.854166666666667|0
0|2020-04-15|0.0|0|0.0|0|134.375|0|4.854166666666667|0
0|2020-04-16|0.0|0|0.0|0|104.16666666666667|0|3.9375|0
0|2020-04-17|0.0|0|0.0|0|181.25|0|9.208333333333334|0
0|2020-04-18|0.0|0|0.0|0|193.95833333333334|0|8.5625|0
0|2020-04-19|0.0|0|0.0|0|203.33333333333334|0|7.583333333333333|0
0|2020-04-20|0.0|0|0.0|0|184.79166666666666|0|6.895833333333333|0
0|2020-04-21|0.0|0|0.0|0|173.54166666666666|0|5.958333333333333|0
0|2020-04-22|0.0|0|0.0|0|142.29166666666666|0|5.020833333333333|0
0|2020-04-23|0.0|0|0.0|0|216.25|0|7.166666666666667|0
0|2020-04-24|0.0|0|0.0|0|255.20833333333334|0|6.5|0
0|2020-04-25|0.0|0|0.0|0|138.95833333333334|0|4.125|0
0|2020-04-26|0.0|0|0.0|0|189.79166666666666|0|8.270833333333334|0
0|2020-04-27|0.0|0|0.0|0|198.33333333333334|0|6.0|0
0|2020-04-28|0.0|0|0.0|0|195.41666666666666|0|5.291666666666667|0
0|2020-04-29|0.0|0|0.0|0|170.41666666666666|0|8.375|0
0|2020-04-30|0.0|0|0.0|0|181.45833333333334|0|8.0625|0
0|2020-05-01|0.0|0|0.0|0|190.20833333333334|0|7.875|0
0|2020-05-02|0.0|0|0.0|0|188.75|0|10.625|0
0|2020-05-03|0.0|0|0.0|0|231.25|0|6.8125|0
0|2020-05-04|0.0|0|0.0|0|230.0|0|5.770833333333333|0
0|2020-05-05|0.0|0|0.0|0|177.70833333333334|0|7.208333333333333|0
0|2020-05-06|0.0|0|0.0|0|257.0833333333333|0|10.416666666666666|0
0|2020-05-07|0.0|0|0.0|0|213.75|0|5.729166666666667|0
0|2020-05-08|0.0|0|0.0|0|141.66666666666666|0|3.8125|0
0|2020-05-09|0.0|0|0.0|0|178.125|0|6.479166666666667|0
0|2020-05-10|0.0|0|0.0|0|196.875|0|11.458333333333334|0
0|2020-05-11|0.0|0|0.0|0|205.0|0|10.541666666666666|0
0|2020-05-12|0.0|0|0.0|0|192.08333333333334|0|10.5625|0
0|2020-05-13|0.0|0|0.0|0|172.91666666666666|0|7.708333333333333|0
0|2020-05-14|0.0|0|0.0|0|187.70833333333334|0|7.375|0
0|2020-05-15|0.0|0|0.0|0|167.08333333333334|0|5.229166666666667|0
0|2020-05-16|0.0|0|0.0|0|182.70833333333334|0|11.354166666666666|0
0|2020-05-17|0.0|0|0.0|0|174.375|0|9.6875|0
0|2020-05-18|0.0|0|0.0|0|192.91666666666666|0|8.291666666666666|0
0|2020-05-19|0.0|0|0.0|0|158.54166666666666|0|6.6875|0
0|2020-05-20|0.0|0|0.0|0|202.08333333333334|0|6.625|0
0|2020-05-21|0.0|0|0.0|0|159.375|0|4.895833333333333|0
0|2020-05-22|0.0|0|0.0|0|219.16666666666666|0|8.5625|0
0|2020-05-23|0.0|0|0.0|0|246.66666666666666|0|8.6875|0
0|2020-05-24|0.0|0|0.0|0|235.20833333333334|0|7.375|0
0|2020-05-25|0.0|0|0.0|0|161.80555555555557|0|3.9861111111111107|0
0|2020-05-26|0.0|0|0.0|0|170.0|0|4.958333333333333|0
0|2020-05-27|0.0|0|0.0|0|175.83333333333334|0|6.625|0
0|2020-05-28|0.0|0|0.0|0|171.66666666666666|0|5.833333333333333|0
0|2020-05-29|0.0|0|0.0|0|180.20833333333334|0|9.979166666666666|0
0|2020-05-30|0.0|0|0.0|0|137.70833333333334|0|8.208333333333334|0
0|2020-05-31|0.0|0|0.0|0|196.04166666666666|0|7.208333333333333|0
0|2020-06-01|0.0|0|0.0|0|199.375|0|5.833333333333333|0
0|2020-06-02|0.0|0|0.0|0|210.20833333333334|0|5.0625|0
0|2020-06-03|0.0|0|0.0|0|172.36111111111111|0|5.013888888888888|0
0|2020-06-04|0.0|0|0.0|0|170.0|0|5.479166666666667|0
0|2020-06-05|0.0|0|0.0|0|173.54166666666666|0|14.4375|0
0|2020-06-06|0.0|0|0.0|0|178.75|0|13.416666666666666|0
0|2020-06-07|0.0|0|0.0|0|275.4166666666667|0|10.729166666666666|0
0|2020-06-08|0.0|0|0.0|0|298.9583333333333|0|10.895833333333334|0
0|2020-06-09|0.0|0|0.0|0|186.7361111111111|0|4.854166666666667|0
0|2020-06-10|0.0|0|0.0|0|184.58333333333334|0|4.895833333333333|0
0|2020-06-11|0.0|0|0.0|0|175.83333333333334|0|8.020833333333334|0
0|2020-06-12|0.0|0|0.0|0|169.79166666666666|0|12.020833333333334|0
0|2020-06-13|0.0|0|0.0|0|190.41666666666666|0|9.166666666666666|0
0|2020-06-14|0.0|0|0.0|0|202.29166666666666|0|7.1875|0
0|2020-06-15|0.0|0|0.0|0|188.75|0|9.645833333333334|0
0|2020-06-16|0.0|0|0.0|0|212.29166666666666|0|7.333333333333333|0
0|2020-06-17|0.0|0|0.0|0|273.3333333333333|0|11.5625|0
0|2020-06-18|0.0|0|0.0|0|203.33333333333334|0|4.833333333333333|0
0|2020-06-19|0.0|0|0.0|0|204.375|0|7.833333333333333|0
0|2020-06-20|0.0|0|0.0|0|190.41666666666666|0|8.083333333333334|0
0|2020-06-21|0.0|0|0.0|0|210.20833333333334|0|7.020833333333333|0
0|2020-06-22|0.0|0|0.0|0|195.0|0|7.083333333333333|0
0|2020-06-23|0.0|0|0.0|0|179.58333333333334|0|7.625|0
0|2020-06-24|0.0|0|0.0|0|189.375|0|6.125|0
0|2020-06-25|0.0|0|0.0|0|174.5138888888889|0|6.736111111111112|0
0|2020-06-26|0.0|0|0.0|0|210.625|0|7.541666666666667|0
0|2020-06-27|0.0|0|0.0|0|191.66666666666666|0|16.395833333333332|0
0|2020-06-28|0.0|0|0.0|0|206.25|0|13.229166666666666|0
0|2020-06-29|0.0|0|0.0|0|232.91666666666666|0|8.583333333333334|0
0|2020-06-30|0.0|0|0.0|0|219.16666666666666|0|7.083333333333333|0
0|2020-07-01|0.0|0|0.0|0|166.66666666666666|0|6.666666666666667|0
0|2020-07-02|0.0|0|0.0|0|177.70833333333334|0|7.201388888888888|0
0|2020-07-03|0.0|0|0.0|0|179.58333333333334|0|6.958333333333333|0
0|2020-07-04|0.0|0|0.0|0|174.375|0|5.270833333333333|0
0|2020-07-05|0.0|0|0.0|0|220.0|0|7.4375|0
0|2020-07-06|0.0|0|0.0|0|205.625|0|9.208333333333334|0
0|2020-07-07|0.0|0|0.0|0|221.66666666666666|0|7.770833333333333|0
0|2020-07-08|0.0|0|0.0|0|189.375|0|6.979166666666667|0
0|2020-07-09|0.0|0|0.0|0|168.54166666666666|0|5.041666666666667|0
0|2020-07-10|0.0|0|0.0|0|159.16666666666666|0|5.979166666666667|0
0|2020-07-11|0.0|0|0.0|0|190.20833333333334|0|4.958333333333333|0
0|2020-07-12|0.0|0|0.0|0|218.33333333333334|0|7.270833333333333|0
0|2020-07-13|0.0|0|0.0|0|197.29166666666666|0|9.625|0
0|2020-07-14|0.0|0|0.0|0|165.83333333333334|0|7.895833333333333|0
0|2020-07-15|0.0|0|0.0|0|144.16666666666666|0|5.625|0
0|2020-07-16|0.0|0|0.0|0|175.20833333333334|0|8.375|0
0|2020-07-17|0.0|0|0.0|0|196.66666666666666|0|8.770833333333334|0
0|2020-07-18|0.0|0|0.0|0|215.625|0|6.895833333333333|0
0|2020-07-19|0.0|0|0.0|0|212.5|0|8.125|0
0|2020-07-20|0.0|0|0.0|0|193.54166666666666|0|8.5|0
0|2020-07-21|0.0|0|0.0|0|182.29166666666666|0|7.854166666666667|0
0|2020-07-22|0.0|0|0.0|0|196.04166666666666|0|8.333333333333334|0
0|2020-07-23|0.0|0|0.0|0|180.41666666666666|0|7.583333333333333|0
0|2020-07-24|0.0|0|0.0|0|185.20833333333334|0|8.25|0
0|2020-07-25|0.0|0|0.0|0|182.08333333333334|0|4.5625|0
0|2020-07-26|0.0|0|0.0|0|219.375|0|6.854166666666667|0
0|2020-07-27|0.0|0|0.0|0|200.625|0|8.458333333333334|0
0|2020-07-28|0.0|0|0.0|0|189.79166666666666|0|6.833333333333333|0
0|2020-07-29|0.0|0|0.0|0|190.625|0|7.708333333333333|0
0|2020-07-30|0.0|0|0.0|0|190.20833333333334|0|6.5625|0
0|2020-07-31|0.0|0|0.0|0|188.95833333333334|0|7.645833333333333|0
0|2020-08-01|0.0|0|0.0|0|190.20833333333334|0|6.708333333333333|0
0|2020-08-02|0.0|0|0.0|0|193.54166666666666|0|7.020833333333333|0
0|2020-08-03|0.0|0|0.0|0|172.70833333333334|0|6.729166666666667|0
0|2020-08-04|0.0|0|0.0|0|190.7638888888889|0|7.3125|0
0|2020-08-05|0.0|0|0.0|0|201.875|0|9.895833333333334|0
0|2020-08-06|0.0|0|0.0|0|175.41666666666666|0|5.805555555555556|0
0|2020-08-07|0.0|0|0.0|0|159.375|0|4.75|0
0|2020-08-08|0.0|0|0.0|0|190.625|0|6.5625|0
0|2020-08-09|0.0|0|0.0|0|146.25|0|6.208333333333333|0
