|dates|Saluda_SouthCarolina_UnitedStates.AverageDailyTemperature.data|Saluda_SouthCarolina_UnitedStates.AverageDailyTemperature.missing|Saluda_SouthCarolina_UnitedStates.AverageDewPoint.data|Saluda_SouthCarolina_UnitedStates.AverageDewPoint.missing|Saluda_SouthCarolina_UnitedStates.AverageRelativeHumidity.data|Saluda_SouthCarolina_UnitedStates.AverageRelativeHumidity.missing|Saluda_SouthCarolina_UnitedStates.AverageSurfaceAirPressure.data|Saluda_SouthCarolina_UnitedStates.AverageSurfaceAirPressure.missing
0|2020-01-01|44.395833333333336|0|31.166666666666668|0|62.302083333333336|0|29.40645833333332|0
0|2020-01-02|45.5|0|39.21875|0|79.54166666666667|0|29.449583333333326|0
0|2020-01-03|52.864583333333336|0|52.822916666666664|0|99.875|0|29.316822916666677|0
0|2020-01-04|55.979166666666664|0|48.40625|0|78.54166666666667|0|29.29604166666667|0
0|2020-01-05|42.760416666666664|0|31.291666666666668|0|66.46875|0|29.60890625|0
0|2020-01-06|45.520833333333336|0|34.666666666666664|0|68.91666666666667|0|29.54755208333333|0
0|2020-01-07|47.625|0|38.354166666666664|0|74.5625|0|29.47156250000003|0
0|2020-01-08|43.21875|0|30.135416666666668|0|66.15625|0|29.752291666666668|0
0|2020-01-09|46.385416666666664|0|31.354166666666668|0|61.552083333333336|0|29.963229166666633|0
0|2020-01-10|54.770833333333336|0|47.885416666666664|0|78.1875|0|29.87760416666669|0
0|2020-01-11|66.1875|0|64.47916666666667|0|94.94270833333333|0|29.599739583333317|0
0|2020-01-12|63.208333333333336|0|60.9375|0|92.52083333333333|0|29.655|0
0|2020-01-13|63.145833333333336|0|63.145833333333336|0|100.0|0|29.748124999999998|0
0|2020-01-14|62.354166666666664|0|62.354166666666664|0|100.0|0|29.642031249999988|0
0|2020-01-15|62.875|0|60.333333333333336|0|92.11458333333333|0|29.596458333333313|0
0|2020-01-16|61.104166666666664|0|44.833333333333336|0|62.520833333333336|0|29.665833333333357|0
0|2020-01-17|43.96875|0|22.28125|0|43.822916666666664|0|29.9766666666667|0
0|2020-01-18|40.947916666666664|0|33.21875|0|75.22916666666667|0|29.766041666666677|0
0|2020-01-19|47.65625|0|36.854166666666664|0|70.76041666666667|0|29.435000000000034|0
0|2020-01-20|32.90625|0|19.729166666666668|0|59.677083333333336|0|29.71583333333336|0
0|2020-01-21|30.864583333333332|0|15.90625|0|55.46875|0|29.809583333333332|0
0|2020-01-22|34.552083333333336|0|16.59375|0|49.963541666666664|0|29.77557291666666|0
0|2020-01-23|39.75|0|26.291666666666668|0|59.333333333333336|0|29.68260416666666|0
0|2020-01-24|47.3125|0|46.458333333333336|0|97.26041666666667|0|29.438958333333314|0
0|2020-01-25|44.8125|0|38.90625|0|81.76041666666667|0|29.40322916666669|0
0|2020-01-26|43.1875|0|33.770833333333336|0|72.29166666666667|0|29.433125000000018|0
0|2020-01-27|48.552083333333336|0|40.260416666666664|0|73.64583333333333|0|29.317812500000002|0
0|2020-01-28|43.59375|0|34.416666666666664|0|74.16666666666667|0|29.395520833333332|0
0|2020-01-29|42.020833333333336|0|36.635416666666664|0|82.8125|0|29.4571875|0
0|2020-01-30|44.052083333333336|0|37.572916666666664|0|80.86458333333333|0|29.556979166666636|0
0|2020-01-31|36.59375|0|35.583333333333336|0|96.3125|0|29.598750000000035|0
0|2020-02-01|41.8125|0|40.666666666666664|0|95.72916666666667|0|29.388854166666693|0
0|2020-02-02|48.989583333333336|0|34.65625|0|61.40625|0|29.350520833333352|0
0|2020-02-03|57.708333333333336|0|39.135416666666664|0|52.666666666666664|0|29.447395833333328|0
0|2020-02-04|60.885416666666664|0|50.885416666666664|0|70.98958333333333|0|29.437500000000018|0
0|2020-02-05|62.15625|0|60.895833333333336|0|95.89583333333333|0|29.34072916666668|0
0|2020-02-06|63.885416666666664|0|63.302083333333336|0|98.25|0|28.96906250000001|0
0|2020-02-07|45.270833333333336|0|36.239583333333336|0|72.19270833333333|0|29.13739583333334|0
0|2020-02-08|34.34375|0|31.572916666666668|0|90.82291666666667|0|29.702083333333352|0
0|2020-02-09|39.895833333333336|0|36.166666666666664|0|88.73958333333333|0|29.880520833333353|0
0|2020-02-10|46.96875|0|44.072916666666664|0|90.54166666666667|0|29.685729166666665|0
0|2020-02-11|65.73958333333333|0|62.677083333333336|0|90.88541666666667|0|29.434895833333346|0
0|2020-02-12|61.942708333333336|0|59.515625|0|91.97916666666667|0|29.451354166666658|0
0|2020-02-13|62.161458333333336|0|59.447916666666664|0|91.64583333333333|0|29.300989583333322|0
0|2020-02-14|46.614583333333336|0|31.729166666666668|0|58.28125|0|29.67380208333333|0
0|2020-02-15|39.510416666666664|0|28.177083333333332|0|65.15625|0|29.855416666666688|0
0|2020-02-16|39.104166666666664|0|38.46875|0|97.66666666666667|0|29.631979166666707|0
0|2020-02-17|48.75|0|43.270833333333336|0|84.36458333333333|0|29.568281249999956|0
0|2020-02-18|54.260416666666664|0|53.84375|0|98.75|0|29.56885416666668|0
0|2020-02-19|52.760416666666664|0|50.65625|0|92.34895833333333|0|29.66291666666669|0
0|2020-02-20|40.114583333333336|0|37.302083333333336|0|91.0|0|29.71645833333334|0
0|2020-02-21|35.984375|0|27.75|0|76.72395833333333|0|29.839843749999996|0
0|2020-02-22|37.786458333333336|0|28.0|0|73.79166666666667|0|29.82656250000005|0
0|2020-02-23|45.375|0|31.416666666666668|0|64.85416666666667|0|29.662812500000005|0
0|2020-02-24|46.520833333333336|0|42.770833333333336|0|87.1875|0|29.47833333333331|0
0|2020-02-25|56.96875|0|56.416666666666664|0|98.0|0|29.254583333333358|0
0|2020-02-26|53.84375|0|48.552083333333336|0|83.41666666666667|0|29.257083333333338|0
0|2020-02-27|41.90625|0|26.895833333333332|0|58.354166666666664|0|29.46677083333336|0
0|2020-02-28|41.083333333333336|0|28.53125|0|63.234375|0|29.516979166666673|0
0|2020-02-29|41.572916666666664|0|25.864583333333332|0|59.53125|0|29.542083333333323|0
0|2020-03-01|43.427083333333336|0|27.59375|0|59.291666666666664|0|29.66802083333334|0
0|2020-03-02|51.1875|0|42.395833333333336|0|74.54166666666667|0|29.504687499999978|0
0|2020-03-03|58.572916666666664|0|58.520833333333336|0|99.75|0|29.271458333333356|0
0|2020-03-04|54.875|0|53.135416666666664|0|94.23958333333333|0|29.40697916666666|0
0|2020-03-05|49.114583333333336|0|49.072916666666664|0|99.875|0|29.46864583333331|0
0|2020-03-06|48.125|0|36.552083333333336|0|68.80208333333333|0|29.47229166666668|0
0|2020-03-07|42.895833333333336|0|28.166666666666668|0|59.104166666666664|0|29.798541666666647|0
0|2020-03-08|44.927083333333336|0|30.270833333333332|0|62.84375|0|29.971874999999972|0
0|2020-03-09|51.802083333333336|0|41.395833333333336|0|70.85416666666667|0|29.93479166666668|0
0|2020-03-10|61.166666666666664|0|53.666666666666664|0|77.23958333333333|0|29.733333333333317|0
0|2020-03-11|62.260416666666664|0|55.125|0|80.45833333333333|0|29.514791666666653|0
0|2020-03-12|64.22916666666667|0|57.645833333333336|0|80.89583333333333|0|29.41645833333335|0
0|2020-03-13|67.92708333333333|0|62.333333333333336|0|81.98958333333333|0|29.481875000000016|0
0|2020-03-14|61.15625|0|47.302083333333336|0|63.21875|0|29.686562499999994|0
0|2020-03-15|58.270833333333336|0|52.1875|0|79.64583333333333|0|29.667187500000022|0
0|2020-03-16|50.90625|0|45.083333333333336|0|80.69791666666667|0|29.769999999999964|0
0|2020-03-17|54.760416666666664|0|53.625|0|96.32291666666667|0|29.65333333333335|0
0|2020-03-18|59.010416666666664|0|57.90625|0|96.33333333333333|0|29.703750000000003|0
0|2020-03-19|70.21354166666667|0|63.598958333333336|0|82.05208333333333|0|29.664843750000006|0
0|2020-03-20|72.58854166666667|0|62.359375|0|72.53125|0|29.619531250000005|0
0|2020-03-21|70.375|0|58.90625|0|69.30208333333333|0|29.591875|0
0|2020-03-22|55.03125|0|51.4375|0|88.69791666666667|0|29.727395833333308|0
0|2020-03-23|50.0|0|50.0|0|100.0|0|29.636822916666684|0
0|2020-03-24|56.020833333333336|0|56.020833333333336|0|100.0|0|29.451510416666675|0
0|2020-03-25|61.447916666666664|0|57.53125|0|89.25|0|29.260520833333334|0
0|2020-03-26|58.09375|0|51.760416666666664|0|81.11458333333333|0|29.46552083333331|0
0|2020-03-27|69.9375|0|61.864583333333336|0|78.77083333333333|0|29.35968750000001|0
0|2020-03-28|73.1875|0|63.333333333333336|0|74.15625|0|29.37166666666666|0
0|2020-03-29|73.96875|0|63.635416666666664|0|72.01041666666667|0|29.426666666666673|0
0|2020-03-30|68.20833333333333|0|43.375|0|41.8125|0|29.46260416666666|0
0|2020-03-31|57.697916666666664|0|46.21875|0|69.36458333333333|0|29.201406250000016|0
0|2020-04-01|51.166666666666664|0|41.322916666666664|0|72.22916666666667|0|29.2684375|0
0|2020-04-02|51.760416666666664|0|38.552083333333336|0|66.20833333333333|0|29.44442708333335|0
0|2020-04-03|57.520833333333336|0|40.125|0|59.510416666666664|0|29.393645833333355|0
0|2020-04-04|63.645833333333336|0|42.770833333333336|0|49.78125|0|29.37416666666667|0
0|2020-04-05|63.463541666666664|0|49.260416666666664|0|63.578125|0|29.45135416666666|0
0|2020-04-06|68.65625|0|56.833333333333336|0|70.5|0|29.480520833333305|0
0|2020-04-07|70.16666666666667|0|57.666666666666664|0|67.10416666666667|0|29.40510416666668|0
0|2020-04-08|71.5625|0|61.09375|0|70.91666666666667|0|29.212187500000017|0
0|2020-04-09|72.75|0|52.791666666666664|0|55.5|0|29.07520833333331|0
0|2020-04-10|57.270833333333336|0|28.09375|0|34.854166666666664|0|29.264739583333313|0
0|2020-04-11|52.96875|0|32.583333333333336|0|50.541666666666664|0|29.489791666666633|0
0|2020-04-12|59.822916666666664|0|56.614583333333336|0|89.71875|0|29.421770833333365|0
0|2020-04-13|70.71875|0|61.354166666666664|0|75.21875|0|29.23833333333333|0
0|2020-04-14|64.41666666666667|0|55.09375|0|74.44791666666667|0|29.39781250000002|0
0|2020-04-15|55.677083333333336|0|40.583333333333336|0|58.40625|0|29.406250000000025|0
0|2020-04-16|53.739583333333336|0|38.3125|0|63.020833333333336|0|29.627604166666682|0
0|2020-04-17|56.9375|0|42.864583333333336|0|65.70833333333333|0|29.610208333333315|0
0|2020-04-18|63.416666666666664|0|52.770833333333336|0|72.04166666666667|0|29.333333333333314|0
