|dates|Trumbull_Ohio_UnitedStates.BLS_EmployedPopulation.data|Trumbull_Ohio_UnitedStates.BLS_EmployedPopulation.missing|Trumbull_Ohio_UnitedStates.BLS_UnemployedPopulation.data|Trumbull_Ohio_UnitedStates.BLS_UnemployedPopulation.missing|Trumbull_Ohio_UnitedStates.BLS_UnemploymentRate.data|Trumbull_Ohio_UnitedStates.BLS_UnemploymentRate.missing|Trumbull_Ohio_UnitedStates.BLS_LaborForcePopulation.data|Trumbull_Ohio_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-02|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-03|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-04|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-05|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-06|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-07|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-08|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-09|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-10|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-11|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-12|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-13|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-14|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-15|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-16|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-17|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-18|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-19|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-20|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-21|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-22|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-23|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-24|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-25|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-26|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-27|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-28|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-29|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-30|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-01-31|79694.5|0|6519.0|0|7.561460792103325|0|86213.5|0
0|2020-02-01|80673.0|0|5998.5|0|6.920960177220886|0|86671.5|0
0|2020-02-02|80673.0|0|5998.5|0|6.920960177220886|0|86671.5|0
0|2020-02-03|80673.0|0|5998.5|0|6.920960177220886|0|86671.5|0
0|2020-02-04|80673.0|0|5998.5|0|6.920960177220886|0|86671.5|0
0|2020-02-05|80673.0|0|5998.5|0|6.920960177220886|0|86671.5|0
0|2020-02-06|80673.0|0|5998.5|0|6.920960177220886|0|86671.5|0
0|2020-02-07|80673.0|0|5998.5|0|6.920960177220886|0|86671.5|0
0|2020-02-08|80673.0|0|5998.5|0|6.920960177220886|0|86671.5|0
0|2020-02-09|80673.0|0|5998.5|0|6.920960177220886|0|86671.5|0
0|2020-02-10|80673.0|0|5998.5|0|6.920960177220886|0|86671.5|0
0|2020-02-11|80673.0|0|5998.5|0|6.920960177220886|0|86671.5|0
0|2020-02-12|80673.0|0|5998.5|0|6.920960177220886|0|86671.5|0
0|2020-02-13|80673.0|0|5998.5|0|6.920960177220886|0|86671.5|0
0|2020-02-14|80673.0|0|5998.5|0|6.920960177220886|0|86671.5|0
0|2020-02-15|80673.0|0|5998.5|0|6.920960177220886|0|86671.5|0
0|2020-02-16|80673.0|0|5998.5|0|6.920960177220886|0|86671.5|0
0|2020-02-17|80673.0|0|5998.5|0|6.920960177220886|0|86671.5|0
0|2020-02-18|80673.0|0|5998.5|0|6.920960177220886|0|86671.5|0
0|2020-02-19|80673.0|0|5998.5|0|6.920960177220886|0|86671.5|0
0|2020-02-20|80673.0|0|5998.5|0|6.920960177220886|0|86671.5|0
0|2020-02-21|80673.0|0|5998.5|0|6.920960177220886|0|86671.5|0
0|2020-02-22|80673.0|0|5998.5|0|6.920960177220886|0|86671.5|0
