|dates|VanBuren_Michigan_UnitedStates.BLS_EmployedPopulation.data|VanBuren_Michigan_UnitedStates.BLS_EmployedPopulation.missing|VanBuren_Michigan_UnitedStates.BLS_UnemployedPopulation.data|VanBuren_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|VanBuren_Michigan_UnitedStates.BLS_UnemploymentRate.data|VanBuren_Michigan_UnitedStates.BLS_UnemploymentRate.missing|VanBuren_Michigan_UnitedStates.BLS_LaborForcePopulation.data|VanBuren_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-02|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-03|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-04|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-05|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-06|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-07|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-08|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-09|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-10|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-11|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-12|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-13|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-14|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-15|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-16|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-17|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-18|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-19|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-20|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-21|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-22|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-23|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-24|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-25|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-26|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-27|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-28|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-29|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-30|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-01-31|33331.0|0|1812.5|0|5.157425982045044|0|35143.5|0
0|2020-02-01|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-02|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-03|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-04|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-05|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-06|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-07|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-08|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-09|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-10|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-11|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-12|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-13|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-14|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-15|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-16|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-17|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-18|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-19|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-20|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-21|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-22|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-23|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-24|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-25|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-26|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-27|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-28|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-02-29|33925.5|0|1610.0|0|4.530680587018615|0|35535.5|0
0|2020-03-01|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-02|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-03|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-04|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-05|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-06|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-07|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-08|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-09|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-10|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-11|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-12|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-13|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-14|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-15|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-16|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-17|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-18|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-19|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-20|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-21|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-22|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-23|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-24|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-25|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-26|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-27|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-28|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-29|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-30|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-03-31|33356.0|0|1578.5|0|4.518455967596502|0|34934.5|0
0|2020-04-01|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-02|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-03|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-04|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-05|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-06|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-07|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-08|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-09|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-10|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-11|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-12|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-13|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-14|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-15|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-16|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-17|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-18|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-19|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-20|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-21|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-22|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-23|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-24|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-25|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-26|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-27|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-28|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-29|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-30|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-05-01|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-02|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-03|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
