|dates|Vernon_Wisconsin_UnitedStates.AveragePrecipitationTotal.data|Vernon_Wisconsin_UnitedStates.AveragePrecipitationTotal.missing|Vernon_Wisconsin_UnitedStates.AveragePrecipitation.data|Vernon_Wisconsin_UnitedStates.AveragePrecipitation.missing|Vernon_Wisconsin_UnitedStates.AverageWindDirection.data|Vernon_Wisconsin_UnitedStates.AverageWindDirection.missing|Vernon_Wisconsin_UnitedStates.AverageWindSpeed.data|Vernon_Wisconsin_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|187.8125|0|8.96875|0
0|2020-01-02|0.0|0|0.0|0|254.375|0|9.5625|0
0|2020-01-03|0.0|0|0.0|0|155.15625|0|3.1302083333333335|0
0|2020-01-04|0.0|0|0.0|0|287.2916666666667|0|9.020833333333334|0
0|2020-01-05|0.0|0|0.0|0|238.4375|0|13.244791666666666|0
0|2020-01-06|0.0|0|0.0|0|240.26041666666666|0|7.885416666666667|0
0|2020-01-07|0.0|0|0.0|0|271.4583333333333|0|10.677083333333334|0
0|2020-01-08|0.0|0|0.0|0|182.91666666666666|0|10.520833333333334|0
0|2020-01-09|0.0|0|0.00020833333333333335|0|180.0|0|13.583333333333334|0
0|2020-01-10|0.00020833333333333335|0|0.0|0|242.08333333333334|0|8.5|0
0|2020-01-11|0.0|0|0.0|0|123.33333333333333|0|12.583333333333334|0
0|2020-01-12|0.0|0|0.000625|0|117.1875|0|6.375|0
0|2020-01-13|0.0004166666666666667|0|0.00010416666666666667|0|128.95833333333334|0|7.083333333333333|0
0|2020-01-14|0.0004166666666666667|0|0.000625|0|204.16666666666666|0|9.369791666666666|0
0|2020-01-15|0.0|0|0.0|0|179.16666666666666|0|8.40625|0
0|2020-01-16|0.0|0|0.0|0|257.34375|0|7.729166666666667|0
0|2020-01-17|0.0|0|0.0|0|115.26041666666667|0|13.15625|0
0|2020-01-18|0.0|0|0.0|0|213.125|0|12.40625|0
0|2020-01-19|0.0|0|0.0|0|300.8333333333333|0|11.609375|0
