|dates|Washington_Missouri_UnitedStates.BLS_EmployedPopulation.data|Washington_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Washington_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Washington_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Washington_Missouri_UnitedStates.BLS_UnemploymentRate.data|Washington_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Washington_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Washington_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-02|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-03|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-04|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-05|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-06|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-07|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-08|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-09|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-10|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-11|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-12|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-13|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-14|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-15|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-16|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-17|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-18|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-19|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-20|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-21|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-22|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-23|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-24|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-25|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-26|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-27|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-28|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-29|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-30|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-01-31|9726.5|0|606.0|0|5.864989112025163|0|10332.5|0
0|2020-02-01|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-02|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-03|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-04|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-05|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-06|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-07|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-08|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-09|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-10|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-11|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-12|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-13|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-14|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-15|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-16|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-17|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-18|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-19|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-20|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-21|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-22|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-23|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-24|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-25|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-26|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-27|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-28|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-02-29|9736.5|0|637.0|0|6.1406468405070616|0|10373.5|0
0|2020-03-01|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-02|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-03|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-04|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-05|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-06|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-07|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-08|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-09|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-10|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-11|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-12|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-13|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-14|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-15|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-16|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-17|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-18|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-19|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-20|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-21|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-22|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-23|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-24|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-25|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-26|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-27|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-28|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
0|2020-03-29|9849.0|0|672.0|0|6.387225548902196|0|10521.0|0
